,Entity,Code,Life_Expectancy(2016),Median_age(2017),%_total_population_in_urban_agglomerations>million(2017),Population_in_urban_areas>million(2017),%_population_in_urban_areas(2016),GDPpercapita(2011int-$)($),Urban_Land_area(sq.km)(2010)
0,Algeria,DZA,76.078,27.5,6.436332495299519,2659373,71.459,13328.0,30195.79688
1,Angola,AGO,61.547,16.4,25.232662842333898,7515345,64.149,8397.0,1427.029541
2,Argentina,ARG,76.577,30.799999,42.9076108691458,18995646,91.62700000000001,18695.0,55032.203129999994
3,Australia,AUS,82.5,37.400002,60.6703428965801,14924257,85.8,44783.0,36745.70313
4,Bangladesh,BGD,72.48899999999999,25.6,14.340786851617901,23614938,35.083,3250.0,11125.3916
5,Belarus,BLR,73.82682927,39.599998,20.874012331882803,1984675,77.661,18766.0,7783.031738
6,Belgium,BEL,80.99268293,41.299999,26.9158520684189,3060889,97.919,39733.0,12349.22852
7,Brazil,BRA,75.509,31.299999,41.38471386343,86613355,86.042,13479.0,134981.375
8,Bulgaria,BGR,74.61463415,43.5,17.9033579890082,1266840,74.329,17953.0,6678.94043
9,Cambodia,KHM,68.98100000000001,24.0,11.8248728098995,1892615,22.581999999999997,3307.0,1152.062866
10,Cameroon,CMR,58.073,18.299999,27.927455899038,6717594,55.178999999999995,2803.0,3680.405762
11,Canada,CAN,82.3005122,40.5,45.7374306361899,16789334,81.3,42969.0,126511.1641
12,Chile,CHL,79.52199999999999,33.700001,36.7081283869941,6627552,87.42200000000001,21446.0,12027.5166
13,China,CHN,76.252,37.0,27.271406345233498,378089414,56.736000000000004,12320.0,380679.3
14,Colombia,COL,74.381,30.1,43.380399899196206,21284860,80.108,12963.0,36132.13672
15,Congo,COG,64.625,18.9,61.3301145273963,3226424,66.001,4310.0,1087.161865
16,Costa Rica,CRI,79.831,31.4,27.2584583579047,1337237,77.735,13986.0,4051.562988
17,Cote d'Ivoire,CIV,53.582,18.299999,19.7079286677163,4787992,49.881,3664.0,3466.161621
18,Cuba,CUB,79.742,41.099998,18.5657255484632,2132206,76.93,,9572.447266
19,Democratic Republic of Congo,COD,59.621,16.799999,23.870421520101498,19416198,43.306999999999995,836.0,9061.722656
20,Denmark,DNK,80.70487805,41.599998,22.600757799106802,1303974,87.64200000000001,45141.0,9295.174805
21,Dominican Republic,DOM,73.861,26.1,28.740276537619902,3094465,79.436,14088.0,5089.375977000001
22,Ecuador,ECU,76.327,26.6,27.8911555214487,4636865,63.534,10536.0,10905.65137
23,Egypt,EGY,71.484,24.700001,25.2514672744912,24633602,42.732,11430.0,24270.23242
24,El Salvador,SLV,73.512,25.799999,17.3122052201579,1104147,70.501,8335.0,3598.2692869999996
25,Ethiopia,ETH,65.475,18.6,4.01683299472306,4215965,19.866,1659.0,5166.71582
26,Finland,FIN,81.7804878,42.5,22.859839134230103,1259875,85.275,38335.0,20052.17383
27,France,FRA,82.27317073,41.200001,22.5950126408982,15165467,79.917,38758.0,86463.0625
28,Georgia,GEO,73.26100000000001,38.0,28.9902612251486,1077597,57.836999999999996,10483.0,3602.762939
29,Germany,DEU,80.64146341,45.900002,9.54569804704033,7893815,77.22399999999999,46841.0,62374.19922
30,Ghana,GHA,62.742,20.4,18.366089124612103,5295610,54.748999999999995,3753.0,6239.439453
31,Greece,GRC,81.03658537,43.299999,29.3431920554038,3157451,78.387,24689.0,18519.16406
32,Guatemala,GTM,73.40899999999999,21.299999,16.6317763978284,2813016,50.318999999999996,7137.0,4132.351074
33,Guinea,GIN,60.015,18.4,14.146104449604199,1798985,35.46,1668.0,1473.595703
34,Haiti,HTI,63.33,23.0,23.394294026652197,2568981,53.396,1636.0,764.3450928
35,Honduras,HND,73.575,23.0,14.227776226550802,1318213,55.813,4435.0,3702.359375
36,Hong Kong,HKG,84.22682927,43.200001,99.63720118511299,7364883,100.0,47043.0,901.5428467
37,India,IND,68.56,26.700001,15.1738202279939,203204785,33.181999999999995,5961.0,222688.2344
38,Indonesia,IDN,69.191,28.0,13.3093266655499,35135475,53.989,10511.0,42076.82813
39,Iran,IRN,75.953,29.5,25.8421618044959,20974219,73.88,15529.0,69242.76563
40,Iraq,IRQ,69.862,19.4,24.5780924580358,9407171,70.094,13976.0,12429.91504
41,Ireland,IRL,81.60731707,36.900002,24.688715823972398,1188418,62.736999999999995,55653.0,5638.355957
42,Israel,ISR,82.40731707,30.200001,57.723520499517896,5029104,92.256,32494.0,6399.019531
43,Italy,ITA,82.54390244,45.900002,18.6279888153235,11279511,69.855,34989.0,73540.88281
44,Japan,JPN,83.98487805,46.299999,64.3637331080547,81604072,91.45700000000001,36452.0,108678.2422
45,Jordan,JOR,74.329,22.1,20.2640328588333,1966088,90.506,11748.0,3383.9738770000004
46,Kenya,KEN,67.032,19.0,10.8615532976731,5398177,26.105,3214.0,4187.614746
47,Kuwait,KWT,74.694,33.400002,68.6980723930794,2841715,100.0,67798.0,3942.298828
48,Lebanon,LBN,79.584,28.5,38.3387065244608,2331897,88.266,12683.0,2317.423828
49,Liberia,LBR,62.505,18.6,28.8884859504817,1366976,50.254,764.0,434.27529910000004
50,Libya,LBY,71.934,27.200001,18.0360667999453,1149730,79.54,8096.0,10082.89258
51,Madagascar,MDG,65.932,18.700001,11.3564738348032,2903952,35.856,1307.0,2272.414795
52,Malawi,MWI,63.223,17.4,5.297226349933389,986455,16.506,950.0,1815.1033940000002
53,Malaysia,MYS,75.3,27.700001,23.1421828504847,7318545,74.84,22687.0,15564.95215
54,Mali,MLI,57.966,16.0,12.7728915682144,2368347,40.783,1604.0,2910.42749
55,Mauritania,MRT,63.238,19.700001,26.1086416312081,1154050,51.961999999999996,3307.0,771.6014404
56,Mexico,MEX,77.118,27.5,39.291557609610294,50750263,79.577,15803.0,102418.1094
57,Morocco,MAR,75.821,27.9,21.6076741808382,7722492,61.36,7613.0,12057.44141
58,Mozambique,MOZ,58.31100000000001,17.200001,9.11855855204825,2705370,34.926,1288.0,2739.14502
59,Myanmar,MMR,66.612,27.700001,11.9747125238912,6390977,30.081999999999997,6139.0,6960.023437999999
60,Netherlands,NLD,81.5097561,42.099998,12.433614387888902,2130233,90.635,49254.0,12802.99316
61,New Zealand,NZL,81.61243902,37.299999,31.825152798347897,1525666,86.4,34040.0,8116.299805
62,Nicaragua,NIC,75.404,25.200001,16.738792787741698,1040748,58.09,4872.0,2882.378662
63,Nigeria,NGA,53.428000000000004,17.9,16.375716957514,31259002,48.683,5323.0,17196.23438
64,North Korea,PRK,71.685,34.0,11.8282379658832,3015132,61.471000000000004,,2343.61377
65,Norway,NOR,82.5097561,39.200001,18.883167181696,997451,81.485,76397.0,20282.20508
66,Oman,OMN,77.029,29.0,29.7114356350008,1377500,82.5,36883.0,5651.354004
67,Pakistan,PAK,66.48100000000001,22.5,20.9754575460652,41324998,36.234,5250.0,35871.94141
68,Panama,PAN,78.001,28.4,42.597924601820104,1745913,67.027,21538.0,2892.144043
69,Peru,PER,74.983,27.5,31.6938389083827,10194477,77.539,11540.0,16425.76758
70,Philippines,PHL,69.094,24.1,14.2753694810876,14977445,46.475,7223.0,10817.37305
71,Poland,POL,77.45121951,39.700001,4.6307098241748,1758551,60.178000000000004,26002.0,30501.3418
72,Portugal,PRT,81.12682927,43.900002,40.9648486581816,4216806,64.086,27726.0,12764.67676
73,Puerto Rico,PRI,79.78831707,36.400002,73.6341524587998,2457302,93.602,35082.0,8511.401367
74,Romania,ROU,75.01219512,41.299999,9.34578079363587,1830515,53.9,18913.0,15594.78906
75,Russia,RUS,71.59292683,38.700001,22.970665346833602,33191473,74.164,23064.0,187538.1445
76,Saudi Arabia,SAU,74.561,29.799999,46.7988685360678,15414711,83.40100000000001,47474.0,41223.73828
77,Senegal,SEN,67.146,18.299999,18.315508839526103,2903112,46.29600000000001,2544.0,1796.192627
78,Sierra Leone,SLE,51.835,18.299999,14.61036159896,1104136,41.228,1070.0,710.4832763999999
79,Singapore,SGP,82.79512195,40.0,100.0,5708844,100.0,67180.0,565.5597534
80,Somalia,SOM,56.293,16.5,13.409020966085698,1976828,43.816,,398.7160645
81,South Africa,ZAF,62.773999999999994,26.1,35.0498974243349,19879305,65.34100000000001,11949.0,53460.3125
82,South Korea,KOR,82.02439024,40.799999,50.052602483715496,25760173,81.562,36151.0,21922.01563
83,Spain,ESP,82.83170732,43.200001,25.3900259615063,11824650,79.84,31556.0,69794.58594
84,Sudan,SDN,64.486,18.9,13.310966555178199,5395378,34.121,3750.0,6517.513672
85,Sweden,SWE,82.20487805,40.900002,15.427289370885902,1553180,86.852,44371.0,31152.320310000003
86,Switzerland,CHE,82.89756098,42.200001,16.0174140921286,1356037,73.73899999999999,61844.0,7898.148926000001
87,Tanzania,TZA,65.675,17.299999,11.628568819703199,6664335,32.333,2518.0,3405.80542
88,Thailand,THA,75.303,37.799999,19.6848429345941,13589926,48.448,14341.0,36597.01563
89,Togo,TGO,60.232,18.9,21.905270968571,1708106,40.628,1515.0,1663.073608
90,Tunisia,TUN,75.73100000000001,31.1,19.5473653732742,2254227,68.346,10621.0,9897.881836
91,Turkey,TUR,75.755,29.9,36.97305418959579,29853900,74.134,18784.0,44090.15625
92,Ukraine,UKR,71.47634146,40.299999,12.011516365213803,5384902,69.154,9694.0,32160.1582
93,United Arab Emirates,ARE,77.256,33.400002,58.0782424100905,5459439,85.965,70284.0,8568.158203
94,United Kingdom,GBR,80.95609756,40.200001,26.727486343888803,17646094,82.88600000000001,39162.0,58698.75
95,United States,USA,78.6902439,37.599998,45.8963285238304,149493144,81.862,53015.0,802053.5923
96,Uruguay,URY,77.493,34.900002,49.9629709987705,1727095,95.14399999999999,19896.0,4689.679688
97,Venezuela,VEN,74.545,27.4,28.8773875901369,9234141,88.165,13159.0,34403.92578
98,Vietnam,VNM,76.253,30.4,16.2083738046991,15485610,34.51,6031.0,7589.041504000001
99,Yemen,YEM,64.953,19.200001,9.49047837164899,2681100,35.394,2199.0,4703.399902
