,country,code,year,pop_density,gdp,total_pop,urban_pop,rural_pop,urban_pct,rural_pct,pdi,idv,mas,uai,ltowvs,ivr,life_expectancy,median_age,total_cases,days_since_100th_case
0,Algeria,DZA,2014,16.4221590097996,13483.337862221899,39113313.0,27465760,11647553,70.221,29.778999,,,,,25.944584382871536,32.36607142857142,76.078,27.5,1914.0,21.0
1,Argentina,ARG,2014,15.705657199025099,18797.5479465897,42981515.0,39275219,3706296,91.37700000000001,8.623000099999999,49.0,46.0,56.0,86.0,20.403022670025187,61.83035714285714,76.577,30.799999,2208.0,24.0
2,Australia,AUS,2014,3.0595183734037996,43547.1974836868,23474668.0,20120012,3384126,85.602,14.398,38.0,90.0,61.0,51.0,21.158690176322416,71.42857142857142,82.5,37.400002,6322.0,34.0
3,Bangladesh,BGD,2014,1224.5930629177199,2973.0415646346,159405279.0,53456560,105948719,33.535,66.464996,80.0,20.0,55.0,60.0,47.10327455919395,19.642857142857142,72.48899999999998,25.6,621.0,6.0
4,Belarus,BLR,2014,46.6931693854418,17944.2098463253,9484851.0,7266287,2208224,76.693,23.306998999999998,,,,,80.8564231738035,14.9553571428571,73.82682927,39.599998,2578.0,13.0
5,Belgium,BEL,2014,370.180217965654,41360.3955755286,11219161.0,10966157,242900,97.833,2.1670001,65.0,75.0,54.0,94.0,81.8639798488665,56.6964285714286,80.99268293,41.299999,29647.0,37.0
6,Brazil,BRA,2014,24.4328442691795,15374.261507180701,204213133.0,174585892,29627241,85.492,14.508,69.0,38.0,49.0,76.0,43.82871536523929,59.15178571428571,75.509,31.299999,22169.0,29.0
7,Bulgaria,BGR,2014,66.5432756079587,16302.3205614307,7222145.0,5320503,1903435,73.65100000000001,26.349001,70.0,30.0,40.0,85.0,69.0176322418136,15.848214285714285,74.61463415,43.5,675.0,24.0
8,Canada,CAN,2014,3.9077702669266303,43079.1425247165,35604728.0,28861099,6674249,81.218,18.782,39.0,80.0,52.0,48.0,36.02015113350126,68.30357142857142,82.3005122,40.5,24365.0,32.0
9,Chile,CHL,2014,23.6893610496925,22195.2743713617,17613798.0,15377374,2236424,87.303,12.697000000000001,63.0,23.0,28.0,86.0,30.982367758186395,68.0,79.52199999999998,33.700001,7213.0,27.0
10,China,CHN,2014,145.317355990401,12758.647789259,1390110388.0,740239259,624030741,54.25899999999999,45.741001000000004,80.0,20.0,66.0,30.0,87.4055415617128,23.6607142857143,76.252,37.0,83209.0,85.0
11,Colombia,COL,2014,43.07517890941871,12715.967391439799,47791911.0,37953946,9837965,79.415,20.584999,67.0,13.0,64.0,80.0,13.09823677581864,83.03571428571428,74.381,30.1,2776.0,25.0
12,Costa Rica,CRI,2014,93.1761652957305,14372.4007814474,4757575.0,3612950,1144625,75.941,24.059,35.0,15.0,21.0,86.0,,,79.831,31.4,595.0,23.0
13,Denmark,DNK,2014,134.400452488688,45057.0741699595,5663914.0,4932961,710514,87.41,12.59,18.0,74.0,16.0,23.0,34.76070528967254,69.64285714285714,80.70487805,41.599998,6174.0,34.0
14,Dominican Republic,DOM,2014,215.397309045746,12663.0422473566,10405844.0,8082219,2323625,77.67,22.33,,,,,13.09823677581864,54.24107142857142,73.861,26.1,2967.0,22.0
15,Ecuador,ECU,2014,64.032501207924,10901.4185562194,15903112.0,10060468,5842644,63.261,36.738997999999995,78.0,8.0,63.0,67.0,,,76.327,26.6,7466.0,26.0
16,Egypt,EGY,2014,92.2322226128886,9879.79935855302,91812566.0,39331585,52480981,42.839,57.160999,,,,,6.801007556675063,4.241071428571428,71.484,24.700001,2065.0,28.0
17,El Salvador,SLV,2014,303.146187258687,6890.72322429183,6281189.0,4326106,1955083,68.874,31.125999,66.0,19.0,40.0,94.0,19.647355163728,88.8392857142857,73.512,25.799999,125.0,4.0
18,Ethiopia,ETH,2014,97.36677399999999,1424.52698442707,97366774.0,18497740,78869034,18.998,81.001999,,,,,,46.0,65.475,18.6,71.0,
19,Finland,FIN,2014,17.972003027411198,39017.5372069548,5459717.0,4651843,809669,85.175,14.825,33.0,63.0,26.0,59.0,38.287153652392945,57.36607142857142,81.7804878,42.5,2974.0,31.0
20,France,FRA,2014,121.112673201146,37523.7275771828,64190638.0,52650998,13665094,79.39399999999999,20.606001000000003,68.0,71.0,43.0,86.0,63.47607052896725,47.76785714285714,82.27317073,41.200001,95403.0,43.0
21,Georgia,GEO,2014,65.2052206165366,8749.15618927352,3992346.0,2126887,1600113,57.067,42.932999,,,,,38.287153652392945,31.919642857142854,73.26100000000002,38.0,257.0,12.0
22,Germany,DEU,2014,232.108053883634,43560.6192440775,81489660.0,62510392,18472108,77.19,22.809998999999998,35.0,67.0,66.0,65.0,82.87153652392946,40.40178571428571,80.64146341,45.900002,123016.0,43.0
23,Ghana,GHA,2014,118.49592599103501,3868.60089371873,26962563.0,14403132,12559431,53.419,46.581001,,,,,3.526448362720403,72.32142857142857,62.742,20.4,566.0,17.0
24,Greece,GRC,2014,84.5028161365399,24081.6305378246,11264726.0,8463623,2428790,77.702,22.298000000000002,60.0,35.0,57.0,112.0,45.34005037783375,49.55357142857142,81.03658537,43.299999,2114.0,31.0
25,Guatemala,GTM,2014,148.59610862262,7147.42922806486,15923559.0,7903499,8020060,49.63399999999999,50.366001000000004,95.0,6.0,37.0,101.0,,,73.40899999999998,21.299999,156.0,3.0
26,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,419003394,874855900,32.384,67.615997,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714,68.56,26.700001,9152.0,27.0
27,Indonesia,IDN,2014,140.834257577681,10003.0890293448,255131116.0,134288263,120842853,52.635,47.365002000000004,78.0,14.0,46.0,48.0,61.96473551637279,37.723214285714285,69.191,28.0,4241.0,28.0
28,Iran,IRN,2014,48.141587465311005,16924.2006778247,78411092.0,57106798,21304294,72.83,27.17,58.0,41.0,43.0,59.0,13.602015113350125,40.40178571428571,75.953,29.5,71686.0,46.0
29,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,24419541,10586539,69.758,30.242001000000002,,,,,24.9370277078086,16.7410714285714,69.862,19.4,1352.0,28.0
30,Ireland,IRL,2014,67.6112643344462,48898.3286615603,4686347.0,2903635,1754105,62.34,37.66,28.0,70.0,68.0,35.0,24.43324937027708,64.95535714285714,81.60731707,36.900002,9655.0,29.0
31,Israel,ISR,2014,379.65341959334603,31702.083536629503,7941329.0,7566988,648712,92.104,7.895999900000001,13.0,54.0,47.0,81.0,37.531486146095716,,82.40731707,30.200001,11145.0,30.0
32,Italy,ITA,2014,206.667369279935,33945.8438783585,59585668.0,42109853,18679287,69.27199999999999,30.728001000000003,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996,82.54390244,45.900002,156363.0,49.0
33,Japan,JPN,2014,349.122229536976,37337.3174057788,128162873.0,116208079,11067921,91.304,8.6960001,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714,83.98487805,46.299999,7255.0,51.0
