,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x
0,Albania,ALB,2014,105.441751824818,10701.1207857986,2920775.0,106.597627737226,1630119,1258985,56.423,43.577,,,,,61.460957178841305,14.50892857142857
1,Algeria,DZA,2014,16.4221590097996,13483.337862221899,39113313.0,16.4221590097996,27465760,11647553,70.221,29.778999,,,,,25.944584382871536,32.36607142857142
2,Andorra,AND,2014,168.559574468085,,79223.0,168.559574468085,70066,9157,88.441,11.559000000000001,,,,,,65.0
3,Argentina,ARG,2014,15.705657199025099,18797.5479465897,42981515.0,15.705657199025099,39275219,3706296,91.37700000000001,8.623000099999999,49.0,46.0,56.0,86.0,20.403022670025187,61.83035714285714
4,Armenia,ARM,2014,102.08008429926201,7971.11792762162,2906220.0,102.08008429926201,1834174,1072046,63.111999999999995,36.888000000000005,,,,,60.95717884130982,
5,Australia,AUS,2014,3.0595183734037996,43547.1974836868,23474668.0,3.05568228264973,20120012,3384126,85.602,14.398,38.0,90.0,61.0,51.0,21.158690176322416,71.42857142857142
6,Austria,AUT,2014,103.563321740606,44320.502012547404,8633220.0,104.76064507517401,4916377,3629979,57.526,42.473999,11.0,55.0,79.0,70.0,60.45340050377833,62.72321428571428
7,Azerbaijan,AZE,2014,115.34881385867901,16715.105521305803,9503771.0,114.977025817223,5189181,4345898,54.422,45.577999,,,,,60.705289672544076,21.65178571428571
8,Bangladesh,BGD,2014,1224.5930629177199,2973.0415646346,159405279.0,1224.5930629177199,53456560,105948719,33.535,66.464996,80.0,20.0,55.0,60.0,47.10327455919395,19.642857142857142
9,Belarus,BLR,2014,46.6931693854418,17944.2098463253,9484851.0,46.7441279384949,7266287,2208224,76.693,23.306998999999998,,,,,80.8564231738035,14.9553571428571
10,Belgium,BEL,2014,370.180217965654,41360.3955755286,11219161.0,370.51390356671095,10966157,242900,97.833,2.1670001,65.0,75.0,54.0,94.0,81.8639798488665,56.6964285714286
11,Benin,BEN,2014,91.2266051791415,2001.0772890116,10286712.0,91.2266051791415,4646096,5640616,45.166000000000004,54.833999999999996,61.0,78.0,43.0,97.0,,
12,Bosnia and Herzegovina,BIH,2014,69.6484765625,10516.7864355965,3566002.0,69.9216078431373,1670315,1895687,46.84,53.16,,,,,69.77329974811083,44.19642857142857
13,Brazil,BRA,2014,24.4328442691795,15374.261507180701,204213133.0,24.4328442691795,174585892,29627241,85.492,14.508,69.0,38.0,49.0,76.0,43.82871536523929,59.15178571428571
14,Bulgaria,BGR,2014,66.5432756079587,16302.3205614307,7222145.0,66.5267593957259,5320503,1903435,73.65100000000001,26.349001,70.0,30.0,40.0,85.0,69.0176322418136,15.848214285714285
15,Burkina Faso,BFA,2014,64.2762317251462,1582.33369667322,17585977.0,64.2762317251462,4736607,12849370,26.934,73.066002,,,,,27.455919395466,18.0803571428571
16,Canada,CAN,2014,3.9077702669266303,43079.1425247165,35604728.0,3.91539988409316,28861099,6674249,81.218,18.782,39.0,80.0,52.0,48.0,36.02015113350126,68.30357142857142
17,Central African Republic,CAF,2014,7.24805290699541,597.135168986395,4515392.0,7.24805290699541,1804305,2711087,39.959,60.041000000000004,54.0,73.0,45.0,60.0,,
18,Chile,CHL,2014,23.6893610496925,22195.2743713617,17613798.0,23.6893610496925,15377374,2236424,87.303,12.697000000000001,63.0,23.0,28.0,86.0,30.982367758186395,68.0
19,China,CHN,2014,145.317355990401,12758.647789259,1390110388.0,148.069785393618,740239259,624030741,54.25899999999999,45.741001000000004,80.0,20.0,66.0,30.0,87.4055415617128,23.6607142857143
20,Colombia,COL,2014,43.07517890941871,12715.967391439799,47791911.0,43.07517890941871,37953946,9837965,79.415,20.584999,67.0,13.0,64.0,80.0,13.09823677581864,83.03571428571428
21,Costa Rica,CRI,2014,93.1761652957305,14372.4007814474,4757575.0,93.1761652957305,3612950,1144625,75.941,24.059,35.0,15.0,21.0,86.0,,
22,Croatia,HRV,2014,75.73961758398859,20334.4464738451,4257533.0,76.0817190850608,2370234,1868155,55.923,44.077,73.0,33.0,40.0,80.0,58.43828715365239,33.25892857142857
23,Cyprus,CYP,2014,124.708766233766,29786.174393936803,1152309.0,124.708766233766,772404,379905,67.031,32.969002,,,,,,69.86607142857142
24,Czech Republic,CZE,2014,136.32103354487802,29119.616611907404,10598526.0,137.21551009839501,7723921,2801426,73.384,26.615999,57.0,58.0,57.0,74.0,70.02518891687657,29.46428571428571
25,Denmark,DNK,2014,134.400452488688,45057.0741699595,5663914.0,133.488427999057,4932961,710514,87.41,12.59,18.0,74.0,16.0,23.0,34.76070528967254,69.64285714285714
26,Dominican Republic,DOM,2014,215.397309045746,12663.0422473566,10405844.0,215.35273178807898,8082219,2323625,77.67,22.33,,,,,13.09823677581864,54.24107142857142
27,Ecuador,ECU,2014,64.032501207924,10901.4185562194,15903112.0,64.032501207924,10060468,5842644,63.261,36.738997999999995,78.0,8.0,63.0,67.0,,
28,Egypt,EGY,2014,92.2322226128886,9879.79935855302,91812566.0,92.2322226128886,39331585,52480981,42.839,57.160999,,,,,6.801007556675063,4.241071428571428
29,El Salvador,SLV,2014,303.146187258687,6890.72322429183,6281189.0,303.146187258687,4326106,1955083,68.874,31.125999,66.0,19.0,40.0,94.0,19.647355163728,88.8392857142857
30,Estonia,EST,2014,31.010733663599897,27113.6859213723,1318359.0,31.1007077140835,897427,417118,68.26899999999999,31.731001000000003,40.0,60.0,30.0,60.0,82.11586901763224,16.294642857142854
31,Ethiopia,ETH,2014,97.36677399999999,1424.52698442707,97366774.0,97.36677399999999,18497740,78869034,18.998,81.001999,,,,,,46.0
32,Finland,FIN,2014,17.972003027411198,39017.5372069548,5459717.0,17.9660962848399,4651843,809669,85.175,14.825,33.0,63.0,26.0,59.0,38.287153652392945,57.36607142857142
33,France,FRA,2014,121.112673201146,37523.7275771828,64190638.0,117.23096956116001,52650998,13665094,79.39399999999999,20.606001000000003,68.0,71.0,43.0,86.0,63.47607052896725,47.76785714285714
34,Georgia,GEO,2014,65.2052206165366,8749.15618927352,3992346.0,57.4520938264498,2126887,1600113,57.067,42.932999,,,,,38.287153652392945,31.919642857142854
35,Germany,DEU,2014,232.108053883634,43560.6192440775,81489660.0,233.78947670415403,62510392,18472108,77.19,22.809998999999998,35.0,67.0,66.0,65.0,82.87153652392946,40.40178571428571
36,Ghana,GHA,2014,118.49592599103501,3868.60089371873,26962563.0,118.49592599103501,14403132,12559431,53.419,46.581001,,,,,3.526448362720403,72.32142857142857
37,Greece,GRC,2014,84.5028161365399,24081.6305378246,11264726.0,87.3912024825446,8463623,2428790,77.702,22.298000000000002,60.0,35.0,57.0,112.0,45.34005037783375,49.55357142857142
38,Guatemala,GTM,2014,148.59610862262,7147.42922806486,15923559.0,148.59610862262,7903499,8020060,49.63399999999999,50.366001000000004,95.0,6.0,37.0,101.0,,
39,Hong Kong,HKG,2014,6885.238095238101,52789.425363836504,7194563.0,6851.964761904761,7229500,0,100.0,0.0,68.0,25.0,57.0,29.0,60.95717884130982,16.96428571428571
40,Hungary,HUN,2014,108.985618027173,24161.4255236519,9813335.0,108.398707610737,6928924,2937544,70.227,29.773001,46.0,80.0,88.0,82.0,58.186397984886646,31.47321428571428
41,Iceland,ISL,2014,3.2656957605984998,41701.1372653816,328459.0,3.27639900249377,306653,20733,93.667,6.3330002,,,,,27.95969773299748,66.74107142857142
42,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,435.17544926493105,419003394,874855900,32.384,67.615997,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714
43,Indonesia,IDN,2014,140.834257577681,10003.0890293448,255131116.0,140.834257577681,134288263,120842853,52.635,47.365002000000004,78.0,14.0,46.0,48.0,61.96473551637279,37.723214285714285
44,Iran,IRN,2014,48.141587465311005,16924.2006778247,78411092.0,48.147795278008005,57106798,21304294,72.83,27.17,58.0,41.0,43.0,59.0,13.602015113350125,40.40178571428571
45,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,80.5997421256217,24419541,10586539,69.758,30.242001000000002,,,,,24.9370277078086,16.7410714285714
46,Ireland,IRL,2014,67.6112643344462,48898.3286615603,4686347.0,68.0265205399913,2903635,1754105,62.34,37.66,28.0,70.0,68.0,35.0,24.43324937027708,64.95535714285714
47,Israel,ISR,2014,379.65341959334603,31702.083536629503,7941329.0,366.974537892791,7566988,648712,92.104,7.895999900000001,13.0,54.0,47.0,81.0,37.531486146095716,
48,Italy,ITA,2014,206.667369279935,33945.8438783585,59585668.0,202.575875433467,42109853,18679287,69.27199999999999,30.728001000000003,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996
49,Jamaica,JAM,2014,264.27396121883703,8051.2440283060205,2862087.0,264.27396121883703,1562242,1299845,54.583999999999996,45.416000000000004,45.0,39.0,68.0,13.0,,
50,Japan,JPN,2014,349.122229536976,37337.3174057788,128162873.0,351.559772873778,116208079,11067921,91.304,8.6960001,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714
51,Jordan,JOR,2014,99.22624464969591,8622.18546801292,8809306.0,99.22624464969591,7928375,880931,90.0,10.0,,,,,16.120906801007557,43.08035714285714
52,Kyrgyzstan,KGZ,2014,30.4249217935349,3181.64216292265,5774566.0,30.107226277372302,2079480,3756020,35.635,64.364998,,,,,65.99496221662469,39.285714285714285
53,Latvia,LVA,2014,32.0646831778707,22172.2535081352,2016125.0,32.4135852090032,1354815,638967,67.952,32.048,44.0,70.0,9.0,63.0,68.76574307304786,12.94642857142857
54,Lithuania,LTU,2014,46.805538707103004,26258.210097410298,2961846.0,47.25796981204329,1967853,964514,67.108,32.891998,42.0,60.0,19.0,65.0,81.86397984886649,15.624999999999998
55,Luxembourg,LUX,2014,214.794980694981,93655.3341630648,556316.0,214.79382239382198,500042,56277,89.884,10.116,40.0,60.0,50.0,70.0,63.979848866498735,56.02678571428571
56,Macedonia,MKD,2014,82.3749008723236,12298.4901835571,2077495.0,82.3749008723236,1190072,887423,57.284,42.716,,,,,61.71284634760705,35.26785714285714
57,Malaysia,MYS,2014,92.00431288997109,24194.633908454198,30228017.0,92.00431288997109,22240868,7987149,73.577,26.423000000000002,104.0,26.0,50.0,36.0,40.806045340050375,57.14285714285714
58,Mali,MLI,2014,13.9018070956163,1865.1606218307102,16962846.0,13.9018070956163,6648757,10314089,39.196,60.804001,,,,,20.151133501259444,42.63392857142857
59,Malta,MLT,2014,1357.99375,31846.1895357267,425570.0,1329.90625,409992,24566,94.34700000000001,5.6529999,56.0,59.0,47.0,96.0,47.10327455919395,65.625
60,Mexico,MEX,2014,63.90164356079121,16622.5970457658,124221600.0,63.90164356079121,98126368,26095232,78.993,21.006999999999998,81.0,30.0,69.0,82.0,24.1813602015113,97.3214285714286
61,Moldova,MDA,2014,123.886055665865,4762.7808726743,4069939.0,123.89464231354602,1511326,2045071,42.496,57.504002,,,,,71.0327455919395,19.1964285714286
62,Montenegro,MNE,2014,46.23122676579929,14796.635395559098,627674.0,46.667211895910796,407105,214705,65.471,34.528999,,,,,75.31486146095718,19.866071428571427
63,Morocco,MAR,2014,76.89464933900959,7078.8814893239205,34318082.0,76.89464933900959,20678703,13639379,60.256,39.743999,70.0,46.0,53.0,68.0,14.105793450881611,25.44642857142857
64,Netherlands,NLD,2014,500.593885425942,45668.441472132195,16889356.0,500.870581257414,15126226,1738782,89.69,10.31,38.0,80.0,14.0,53.0,67.00251889168766,68.30357142857142
65,New Zealand,NZL,2014,17.1269606167635,34455.3312172237,4566700.0,17.3434354942843,3891014,618686,86.281,13.719000000000001,22.0,79.0,58.0,49.0,32.7455919395466,74.5535714285714
66,Nigeria,NGA,2014,193.74869835413998,5671.9006010195,176460502.0,193.74869835413998,82904673,93555829,46.982,53.018002,,,,,12.846347607052897,83.92857142857142
67,Norway,NOR,2014,14.0651672165259,63419.314778542,5140311.0,14.072710995762,4145335,991897,80.692,19.308001,31.0,69.0,8.0,50.0,34.5088161209068,55.13392857142857
