,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%)
54,Afghanistan,AFG,2014,50.1761786600496,1838.9602437199699,32758020.0,50.1761786600496,8054214,24703806,24.587,75.413002
110,Albania,ALB,2014,105.441751824818,10701.1207857986,2920775.0,106.597627737226,1630119,1258985,56.423,43.577
166,Algeria,DZA,2014,16.4221590097996,13483.337862221899,39113313.0,16.4221590097996,27465760,11647553,70.221,29.778999
221,American Samoa,ASM,2014,277.185,,,277.185,48390,7047,87.288,12.712
277,Andorra,AND,2014,168.559574468085,,79223.0,168.559574468085,70066,9157,88.441,11.559000000000001
333,Angola,AGO,2014,21.593379321408502,6257.15287433489,26920466.0,21.593379321408502,16887478,10032988,62.731,37.269001
389,Antigua and Barbuda,ATG,2014,224.715909090909,19573.8341184873,98875.0,224.715909090909,24892,73983,25.175,74.824997
445,Argentina,ARG,2014,15.705657199025099,18797.5479465897,42981515.0,15.705657199025099,39275219,3706296,91.37700000000001,8.623000099999999
501,Armenia,ARM,2014,102.08008429926201,7971.11792762162,2906220.0,102.08008429926201,1834174,1072046,63.111999999999995,36.888000000000005
556,Aruba,ABW,2014,576.638888888889,,,576.638888888889,44674,59121,43.041000000000004,56.958999999999996
612,Australia,AUS,2014,3.0595183734037996,43547.1974836868,23474668.0,3.05568228264973,20120012,3384126,85.602,14.398
668,Austria,AUT,2014,103.563321740606,44320.502012547404,8633220.0,104.76064507517401,4916377,3629979,57.526,42.473999
724,Azerbaijan,AZE,2014,115.34881385867901,16715.105521305803,9503771.0,114.977025817223,5189181,4345898,54.422,45.577999
780,Bahamas,BHS,2014,38.1787212787213,28456.816529247597,382169.0,38.1787212787213,315931,66238,82.66799999999999,17.332001
836,Bahrain,BHR,2014,1733.32944228275,43837.3440580026,1336397.0,1758.41710526316,1188257,148140,88.915,11.085
892,Bangladesh,BGD,2014,1224.5930629177199,2973.0415646346,159405279.0,1224.5930629177199,53456560,105948719,33.535,66.464996
948,Barbados,BRB,2014,659.03488372093,16359.1907380369,283385.0,659.03488372093,88779,194606,31.328000000000003,68.67199699999999
1004,Belarus,BLR,2014,46.6931693854418,17944.2098463253,9484851.0,46.7441279384949,7266287,2208224,76.693,23.306998999999998
1060,Belgium,BEL,2014,370.180217965654,41360.3955755286,11219161.0,370.51390356671095,10966157,242900,97.833,2.1670001
1116,Belize,BLZ,2014,15.4184129767646,7999.57369198528,351694.0,15.4184129767646,159440,192254,45.335,54.665001000000004
1172,Benin,BEN,2014,91.2266051791415,2001.0772890116,10286712.0,91.2266051791415,4646096,5640616,45.166000000000004,54.833999999999996
1227,Bermuda,BMU,2014,1302.78,,,1247.64,65139,0,100.0,0.0
1283,Bhutan,BTN,2014,20.370123566912397,7366.42412644897,776448.0,20.370123566912397,294414,482034,37.918,62.082001
1339,Bolivia,BOL,2014,9.74998523031478,6324.82725807651,10562159.0,9.74998523031478,7187232,3374927,68.047,31.952999
1395,Bosnia and Herzegovina,BIH,2014,69.6484765625,10516.7864355965,3566002.0,69.9216078431373,1670315,1895687,46.84,53.16
1451,Botswana,BWA,2014,3.8264658655797303,15914.670232833201,2168573.0,3.8264658655797303,1439239,729334,66.368,33.632
1507,Brazil,BRA,2014,24.4328442691795,15374.261507180701,204213133.0,24.4328442691795,174585892,29627241,85.492,14.508
1562,British Virgin Islands,VGB,2014,197.25333333333302,,,197.25333333333302,13674,15914,46.216,53.784
1618,Brunei,BRN,2014,78.12220113851991,76089.2865740815,411704.0,78.12220113851991,314262,97442,76.332,23.667999
1674,Bulgaria,BGR,2014,66.5432756079587,16302.3205614307,7222145.0,66.5267593957259,5320503,1903435,73.65100000000001,26.349001
1730,Burkina Faso,BFA,2014,64.2762317251462,1582.33369667322,17585977.0,64.2762317251462,4736607,12849370,26.934,73.066002
1786,Burundi,BDI,2014,385.194314641745,803.172837396172,9891790.0,385.194314641745,1164857,8726933,11.776,88.22399899999999
1842,Cambodia,KHM,2014,86.5102537956039,3124.3192934427398,15270790.0,86.5102537956039,3328880,11941910,21.799,78.20099599999999
1898,Cameroon,CMR,2014,47.047669818704904,3196.36152634263,22239904.0,47.047669818704904,12004211,10235693,53.976000000000006,46.023998
1954,Canada,CAN,2014,3.9077702669266303,43079.1425247165,35604728.0,3.91539988409316,28861099,6674249,81.218,18.782
2010,Cape Verde,CPV,2014,130.62952853598,5928.19902479817,526437.0,130.62952853598,335919,190518,63.81,36.189999
2065,Cayman Islands,CYM,2014,246.55,,,246.55,59172,0,100.0,0.0
2121,Central African Republic,CAF,2014,7.24805290699541,597.135168986395,4515392.0,7.24805290699541,1804305,2711087,39.959,60.041000000000004
2177,Chad,TCD,2014,10.7762372935197,2076.65000798778,13569438.0,10.7762372935197,3035755,10533683,22.372,77.627998
2232,Channel Islands,OWID_CIS,2014,857.731578947368,,,857.731578947368,50512,112457,30.995,69.004997
2288,Chile,CHL,2014,23.6893610496925,22195.2743713617,17613798.0,23.6893610496925,15377374,2236424,87.303,12.697000000000001
2344,China,CHN,2014,145.317355990401,12758.647789259,1390110388.0,148.069785393618,740239259,624030741,54.25899999999999,45.741001000000004
2400,Colombia,COL,2014,43.07517890941871,12715.967391439799,47791911.0,43.07517890941871,37953946,9837965,79.415,20.584999
2456,Comoros,COM,2014,408.052122514777,1432.08874813164,759385.0,408.052122514777,215195,544190,28.338,71.662003
2512,Congo,COG,2014,14.263838945827198,5538.0529413717795,4871101.0,14.263838945827198,3170356,1700745,65.085,34.915001000000004
2568,Costa Rica,CRI,2014,93.1761652957305,14372.4007814474,4757575.0,93.1761652957305,3612950,1144625,75.941,24.059
2624,Cote d'Ivoire,CIV,2014,70.8533018867925,3054.5348738642797,22531350.0,70.8533018867925,11043516,11487834,49.013999999999996,50.986000000000004
2680,Croatia,HRV,2014,75.73961758398859,20334.4464738451,4257533.0,76.0817190850608,2370234,1868155,55.923,44.077
2736,Cuba,CUB,2014,109.97661026725599,,11439767.0,107.47620255543,8792719,2647048,76.861,23.139
2791,Curacao,CUW,2014,351.146396396396,,,352.504504504505,139450,16459,89.443,10.557
2847,Cyprus,CYP,2014,124.708766233766,29786.174393936803,1152309.0,124.708766233766,772404,379905,67.031,32.969002
2903,Czech Republic,CZE,2014,136.32103354487802,29119.616611907404,10598526.0,137.21551009839501,7723921,2801426,73.384,26.615999
2959,Democratic Republic of Congo,COD,2014,32.5192915903928,785.3473406630079,73722860.0,32.5192915903928,31096302,42626558,42.18,57.82
3015,Denmark,DNK,2014,134.400452488688,45057.0741699595,5663914.0,133.488427999057,4932961,710514,87.41,12.59
3071,Djibouti,DJI,2014,39.3513373597929,,912164.0,39.3513373597929,705230,206934,77.314,22.686001
3127,Dominica,DMA,2014,97.03733333333331,10255.2170538776,72778.0,97.03733333333331,50421,22357,69.28,30.719998999999998
3183,Dominican Republic,DOM,2014,215.397309045746,12663.0422473566,10405844.0,215.35273178807898,8082219,2323625,77.67,22.33
3239,Ecuador,ECU,2014,64.032501207924,10901.4185562194,15903112.0,64.032501207924,10060468,5842644,63.261,36.738997999999995
3295,Egypt,EGY,2014,92.2322226128886,9879.79935855302,91812566.0,92.2322226128886,39331585,52480981,42.839,57.160999
3351,El Salvador,SLV,2014,303.146187258687,6890.72322429183,6281189.0,303.146187258687,4326106,1955083,68.874,31.125999
3407,Equatorial Guinea,GNQ,2014,40.2646702317291,31542.510772602098,1129424.0,40.2646702317291,791534,337890,70.083,29.916999999999998
3515,Estonia,EST,2014,31.010733663599897,27113.6859213723,1318359.0,31.1007077140835,897427,417118,68.26899999999999,31.731001000000003
3571,Ethiopia,ETH,2014,97.36677399999999,1424.52698442707,97366774.0,97.36677399999999,18497740,78869034,18.998,81.001999
3626,Faeroe Islands,FRO,2014,34.987106017192,,,34.987106017192,20270,28572,41.501000000000005,58.499001
3682,Fiji,FJI,2014,48.4841817186645,8222.25378436842,885806.0,48.4841817186645,480249,405557,54.216,45.784
3738,Finland,FIN,2014,17.972003027411198,39017.5372069548,5459717.0,17.9660962848399,4651843,809669,85.175,14.825
3794,France,FRA,2014,121.112673201146,37523.7275771828,64190638.0,117.23096956116001,52650998,13665094,79.39399999999999,20.606001000000003
3849,French Polynesia,PYF,2014,75.26885245901641,,,75.26885245901641,169789,105695,61.633,38.367001
3905,Gabon,GAB,2014,7.279516435751151,16678.6381326502,1875713.0,7.279516435751151,1644081,231632,87.65100000000001,12.349
3961,Gambia,GMB,2014,189.51106719367598,1550.2184323551198,1917852.0,189.51106719367598,1122480,795372,58.528,41.472
4017,Georgia,GEO,2014,65.2052206165366,8749.15618927352,3992346.0,57.4520938264498,2126887,1600113,57.067,42.932999
4073,Germany,DEU,2014,232.108053883634,43560.6192440775,81489660.0,233.78947670415403,62510392,18472108,77.19,22.809998999999998
4129,Ghana,GHA,2014,118.49592599103501,3868.60089371873,26962563.0,118.49592599103501,14403132,12559431,53.419,46.581001
4184,Gibraltar,GIB,2014,3403.8,,,3403.8,34038,0,100.0,0.0
4240,Greece,GRC,2014,84.5028161365399,24081.6305378246,11264726.0,87.3912024825446,8463623,2428790,77.702,22.298000000000002
4295,Greenland,GRL,2014,0.13715434279449398,,,0.137366305274699,48308,7987,85.81299999999999,14.187000000000001
4351,Grenada,GRD,2014,312.823529411765,12038.470873318201,106360.0,312.823529411765,38224,68136,35.938,64.061996
4406,Guam,GUM,2014,298.087037037037,,,298.087037037037,152032,8935,94.449,5.5510000999999995
4462,Guatemala,GTM,2014,148.59610862262,7147.42922806486,15923559.0,148.59610862262,7903499,8020060,49.63399999999999,50.366001000000004
4518,Guinea,GIN,2014,48.0445588474687,1734.7367469565697,11805509.0,48.0445588474687,4112567,7692942,34.836,65.164001
4574,Guinea-Bissau,GNB,2014,61.370697012802296,1398.25480632738,1725744.0,61.370697012802296,719894,1005850,41.715,58.285
4630,Guyana,GUY,2014,3.8780441960883905,6906.012308644809,763393.0,3.8780441960883905,201643,561750,26.414,73.585999
4686,Haiti,HTI,2014,383.616328011611,1652.85480345734,10572466.0,383.616328011611,5438899,5133567,51.443999999999996,48.556000000000004
4742,Honduras,HND,2014,78.73103941370991,4231.32506716223,8809216.0,78.73103941370991,4802256,4006960,54.513999999999996,45.486000000000004
4798,Hong Kong,HKG,2014,6885.238095238101,52789.425363836504,7194563.0,6851.964761904761,7229500,0,100.0,0.0
4854,Hungary,HUN,2014,108.985618027173,24161.4255236519,9813335.0,108.398707610737,6928924,2937544,70.227,29.773001
4910,Iceland,ISL,2014,3.2656957605984998,41701.1372653816,328459.0,3.27639900249377,306653,20733,93.667,6.3330002
4966,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,435.17544926493105,419003394,874855900,32.384,67.615997
5022,Indonesia,IDN,2014,140.834257577681,10003.0890293448,255131116.0,140.834257577681,134288263,120842853,52.635,47.365002000000004
5078,Iran,IRN,2014,48.141587465311005,16924.2006778247,78411092.0,48.147795278008005,57106798,21304294,72.83,27.17
5134,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,80.5997421256217,24419541,10586539,69.758,30.242001000000002
5190,Ireland,IRL,2014,67.6112643344462,48898.3286615603,4686347.0,68.0265205399913,2903635,1754105,62.34,37.66
5245,Isle of Man,IMN,2014,144.894736842105,,,144.894736842105,43081,39509,52.162,47.838001
5301,Israel,ISR,2014,379.65341959334603,31702.083536629503,7941329.0,366.974537892791,7566988,648712,92.104,7.895999900000001
