,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),Entity_y,pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Entity,pdi_y,idv_y,mas_y,uai_y,ltowvs_y,ivr_y
0,Albania,ALB,2014,105.441751824818,10701.1207857986,2920775.0,106.597627737226,1630119,1258985,56.423,43.577,Albania,,,,,61.460957178841305,14.50892857142857,Albania,,,,,61.460957178841305,14.50892857142857
1,Andorra,AND,2014,168.559574468085,,79223.0,168.559574468085,70066,9157,88.441,11.559000000000001,Andorra,,,,,,65.0,Andorra,,,,,,65.0
2,Argentina,ARG,2014,15.705657199025099,18797.5479465897,42981515.0,15.705657199025099,39275219,3706296,91.37700000000001,8.623000099999999,Argentina,49.0,46.0,56.0,86.0,20.403022670025187,61.83035714285714,Argentina,49.0,46.0,56.0,86.0,20.403022670025187,61.83035714285714
3,Armenia,ARM,2014,102.08008429926201,7971.11792762162,2906220.0,102.08008429926201,1834174,1072046,63.111999999999995,36.888000000000005,Armenia,,,,,60.95717884130982,,Armenia,,,,,60.95717884130982,
4,Austria,AUT,2014,103.563321740606,44320.502012547404,8633220.0,104.76064507517401,4916377,3629979,57.526,42.473999,Austria,11.0,55.0,79.0,70.0,60.45340050377833,62.72321428571428,Austria,11.0,55.0,79.0,70.0,60.45340050377833,62.72321428571428
5,Azerbaijan,AZE,2014,115.34881385867901,16715.105521305803,9503771.0,114.977025817223,5189181,4345898,54.422,45.577999,Azerbaijan,,,,,60.705289672544076,21.65178571428571,Azerbaijan,,,,,60.705289672544076,21.65178571428571
6,Belarus,BLR,2014,46.6931693854418,17944.2098463253,9484851.0,46.7441279384949,7266287,2208224,76.693,23.306998999999998,Belarus,,,,,80.8564231738035,14.9553571428571,Belarus,,,,,80.8564231738035,14.9553571428571
7,Belgium,BEL,2014,370.180217965654,41360.3955755286,11219161.0,370.51390356671095,10966157,242900,97.833,2.1670001,Belgium,65.0,75.0,54.0,94.0,81.8639798488665,56.6964285714286,Belgium,65.0,75.0,54.0,94.0,81.8639798488665,56.6964285714286
8,Benin,BEN,2014,91.2266051791415,2001.0772890116,10286712.0,91.2266051791415,4646096,5640616,45.166000000000004,54.833999999999996,Belgium Netherl,61.0,78.0,43.0,97.0,,,Belgium Netherl,61.0,78.0,43.0,97.0,,
9,Brazil,BRA,2014,24.4328442691795,15374.261507180701,204213133.0,24.4328442691795,174585892,29627241,85.492,14.508,Brazil,69.0,38.0,49.0,76.0,43.82871536523929,59.15178571428571,Brazil,69.0,38.0,49.0,76.0,43.82871536523929,59.15178571428571
10,Canada,CAN,2014,3.9077702669266303,43079.1425247165,35604728.0,3.91539988409316,28861099,6674249,81.218,18.782,Canada,39.0,80.0,52.0,48.0,36.02015113350126,68.30357142857142,Canada,39.0,80.0,52.0,48.0,36.02015113350126,68.30357142857142
11,Central African Republic,CAF,2014,7.24805290699541,597.135168986395,4515392.0,7.24805290699541,1804305,2711087,39.959,60.041000000000004,Canada French,54.0,73.0,45.0,60.0,,,Canada French,54.0,73.0,45.0,60.0,,
12,Chile,CHL,2014,23.6893610496925,22195.2743713617,17613798.0,23.6893610496925,15377374,2236424,87.303,12.697000000000001,Chile,63.0,23.0,28.0,86.0,30.982367758186395,68.0,Chile,63.0,23.0,28.0,86.0,30.982367758186395,68.0
13,Colombia,COL,2014,43.07517890941871,12715.967391439799,47791911.0,43.07517890941871,37953946,9837965,79.415,20.584999,Colombia,67.0,13.0,64.0,80.0,13.09823677581864,83.03571428571428,Colombia,67.0,13.0,64.0,80.0,13.09823677581864,83.03571428571428
14,Cyprus,CYP,2014,124.708766233766,29786.174393936803,1152309.0,124.708766233766,772404,379905,67.031,32.969002,Cyprus,,,,,,69.86607142857142,Cyprus,,,,,,69.86607142857142
