,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Albania,ALB,105.135145985401,10970.4522447693,2923352.0,1654503,1226200,57.434,42.566002000000005,78.17399999999999,36.200001,World,150,Europe,39,Southern Europe,,Albania,8,Developed,Albania,494,25.0,251.0,218,5.0,172.0,9.0,4558.0,1584.0,2872093,90.0,20.0,80.0,70.0,61.0,15.0,Albania,1585872000,277.0,10.0,5.6240175061873385,9.644534491048863e-05,-9.24653408405424,5.147494476813453,0.09298407669683037,4.762955245797132,0.9693274748826488,8.681686876056305e-07,0.007858696937731433,0.09298407669683026,-10.107596344444445,0.9693274748826487,8.68168687605643e-07,0.007858696937731438
1,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,World,2,Africa,15,Northern Africa,,Algeria,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,Algeria,1585785600,847.0,10.0,6.741700694652055,1.9214351700627788e-05,-10.859853073750173,3.8918202981106265,0.17141645896531316,4.943417143082069,0.970459885444611,7.341726393270772e-07,0.0142050760443842,0.17141645896531316,-12.658136625320157,0.970459885444611,7.341726393270772e-07,0.014205076044384203
2,Argentina,ARG,15.8650650968871,19116.907914513202,43417765.0,39728558,3689207,91.50299999999999,8.496999699999998,76.415,30.799999,World,19,Americas,419,Latin America and the Caribbean,South America,Argentina,32,Developing,Argentina,2571,112.0,596.0,1863,117.0,57.0,2.0,24374.0,539.0,45105263,49.0,46.0,56.0,86.0,20.0,62.0,Argentina,1585526400,820.0,10.0,6.709304340258298,1.817969667974223e-05,-10.91520515363673,4.04305126783455,0.19047863921770053,4.959985297119118,0.9899570427307555,5.8821352839363406e-09,0.009066952354135788,0.19047863921770064,-12.66452419677591,0.9899570427307557,5.882135283935753e-09,0.009066952354135693
3,Armenia,ARM,102.456972251493,8195.93364956571,2916950.0,1840158,1076792,63.085,36.915001000000004,74.445,33.900002,World,142,Asia,145,Western Asia,,Armenia,51,Developing,Armenia,1111,17.0,297.0,797,30.0,375.0,6.0,9095.0,3069.0,2962667,,,,,61.0,,Armenia,1585440000,424.0,10.0,6.049733455231958,0.0001431142953291747,-8.85186697891278,5.926926025970411,0.13778024033554706,4.680731517824757,0.9944736714181943,4.0266111052946245e-10,0.004848472080238304,0.1377802403355472,-10.220868916319981,0.9944736714181943,4.0266111052946245e-10,0.0048484720802383086
4,Australia,AUS,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,37.400002,World,9,Oceania,53,Australia and New Zealand,,Australia,36,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,38.0,90.0,61.0,51.0,21.0,71.0,Australia,1584662400,709.0,10.0,6.5638555265321274,2.7758743397314692e-05,-10.491959690017575,5.53338948872752,0.20254736191458494,4.501196059961861,0.9975483137909479,1.0434731161306834e-11,0.004736444858806386,0.20254736191458494,-12.554619156587842,0.9975483137909477,1.0434731161311101e-11,0.004736444858806602
5,Austria,AUT,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,43.200001,World,150,Europe,155,Western Europe,,Austria,40,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,11.0,55.0,79.0,70.0,60.0,63.0,Austria,1584576000,1646.0,10.0,7.406103381237015,0.00018272319955205064,-8.60753812096665,7.373374309910049,0.28582214325889194,4.669680108365305,0.9962897331225261,6.720923167059238e-11,0.008230066097412359,0.28582214325889177,-11.34396139383836,0.9962897331225258,6.72092316706194e-11,0.008230066097412727
6,Azerbaijan,AZE,116.73107678163099,16698.8636532538,9617484.0,5279540,4369801,54.714,45.285999,71.921,30.299999,World,142,Asia,145,Western Asia,,Azerbaijan,31,Developing,Azerbaijan,1253,13.0,404.0,836,24.0,124.0,1.0,75397.0,7436.0,10104839,,,,,61.0,22.0,Azerbaijan,1586131200,584.0,10.0,6.369900982828227,5.779409251349774e-05,-9.758623993158123,4.820281565605037,0.15154016722164257,4.91110647930895,0.9937044634509549,7.230070261518799e-10,0.00569503021072053,0.1515401672216426,-11.2174184966774,0.9937044634509551,7.230070261517642e-10,0.00569503021072043
7,Belarus,BLR,46.767611256222,17229.5551904045,9485772.0,7324181,2165435,77.181,22.819000000000003,73.6243902439025,39.599998,World,150,Europe,151,Eastern Europe,,Belarus,112,Developed,Belarus,3728,36.0,203.0,3489,68.0,395.0,4.0,76198.0,8064.0,9437975,,,,,81.0,15.0,Belarus,1586476800,1486.0,10.0,7.303843225277705,0.00015744902905549124,-8.756408777120972,5.978885764901122,0.2613178984176841,4.693040845421135,0.9950664619848253,2.4185608298251343e-10,0.008684678317314749,0.26131789841768416,-11.367211156977541,0.9950664619848253,2.4185608298251343e-10,0.008684678317314749
8,Belgium,BEL,372.33143989432,41708.2123401731,11287940.0,11034732,239464,97.876,2.1240001,80.9926829268293,41.299999,World,150,Europe,155,Western Europe,,Belgium,56,Developed,Belgium,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,65.0,75.0,54.0,94.0,82.0,57.0,Belgium,1584403200,1085.0,10.0,6.98933526597456,9.362419249133976e-05,-9.276221741089696,7.9714309977693505,0.21753696523444335,4.781321859062196,0.9937445374744053,7.025666697871623e-10,0.008148947598226396,0.2175369652344433,-11.48423514800206,0.9937445374744057,7.025666697869376e-10,0.0081489475982261
9,Bosnia and Herzegovina,BIH,69.06173828125,10932.4594822386,3535961.0,1668019,1867942,47.173,52.827,76.735,41.0,World,150,Europe,39,Southern Europe,,Bosnia and Herzegovina,70,Developed,Bosnia and Herzegovina,1110,41.0,253.0,816,4.0,338.0,12.0,13339.0,4066.0,3284024,,,,,70.0,44.0,Bosnia and Herzegovina,1585785600,464.0,10.0,6.139884552226255,0.00014129007583379416,-8.864695505462276,5.823045895483019,0.13688999665148188,4.766728848853564,0.9935063209811947,8.30960381403489e-10,0.0052255744664102665,0.13688999665148188,-10.237851208834966,0.9935063209811947,8.30960381403489e-10,0.0052255744664102665
10,Brazil,BRA,24.6420983615972,14702.5912680317,205962108.0,176653700,29308408,85.77,14.23,75.28399999999999,31.299999,World,19,Americas,419,Latin America and the Caribbean,South America,Brazil,76,Developing,Brazil,28912,1760.0,14026.0,13126,296.0,136.0,8.0,62985.0,296.0,212588235,69.0,38.0,49.0,76.0,44.0,59.0,Brazil,1585094400,2201.0,10.0,7.696667081526462,1.0353348105082109e-05,-11.478200602150261,4.912654885736052,0.2964757756731153,4.893365825631853,0.9952831248205272,1.9766216961528064e-10,0.009632760784405173,0.2964757756731153,-14.28150185804487,0.9952831248205272,1.9766216961528064e-10,0.009632760784405173
