,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,,
15,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585008000,100,0,4.605170186,3.48E-05,-10.2653814,5.147494477,,
16,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585094400,123,1,4.812184355,4.28E-05,-10.05836723,5.147494477,,
17,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585180800,146,2,4.983606622,5.08E-05,-9.886944969,5.147494477,,
18,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585267200,174,3,5.159055299,6.06E-05,-9.711496291,5.147494477,,
19,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585353600,186,4,5.225746674,6.48E-05,-9.644804917,5.147494477,,
20,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585440000,197,5,5.283203729,6.86E-05,-9.587347862,5.147494477,,
21,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585526400,212,6,5.356586275,7.38E-05,-9.513965316,5.147494477,,
22,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585612800,223,7,5.407171771,7.76E-05,-9.463379819,5.147494477,,
23,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585699200,243,8,5.493061443,8.46E-05,-9.377490147,5.147494477,,
24,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585785600,259,9,5.556828062,9.02E-05,-9.313723529,5.147494477,,
25,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585872000,277,10,5.624017506,9.64E-05,-9.246534084,5.147494477,,
26,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585958400,304,11,5.717027701,0.000105846,-9.153523889,5.147494477,,
27,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586044800,333,12,5.80814249,0.000115943,-9.0624091,5.147494477,,
28,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586131200,361,13,5.888877958,0.000125692,-8.981673632,5.147494477,,
29,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586217600,377,14,5.932245187,0.000131263,-8.938306403,5.147494477,,
30,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586304000,383,15,5.948034989,0.000133352,-8.922516601,5.147494477,,
31,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586390400,400,16,5.991464547,0.000139271,-8.879087043,5.147494477,,
32,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586476800,409,17,6.013715156,0.000142405,-8.856836434,5.147494477,,
33,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586563200,416,18,6.03068526,0.000144842,-8.83986633,5.147494477,,
34,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586649600,433,19,6.070737728,0.000150761,-8.799813862,5.147494477,,
35,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586736000,446,20,6.100318952,0.000155287,-8.770232638,5.147494477,,
36,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586822400,467,21,6.146329258,0.000162599,-8.724222333,5.147494477,,
37,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586908800,475,22,6.163314804,0.000165385,-8.707236786,5.147494477,,1256490.937
116,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1584921600,102,0,4.624972813,2.31E-06,-12.97658096,3.891820298,,
117,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585008000,189,1,5.241747015,4.29E-06,-12.35980675,3.891820298,,
118,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585094400,231,2,5.442417711,5.24E-06,-12.15913606,3.891820298,,
119,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585180800,264,3,5.575949103,5.99E-06,-12.02560467,3.891820298,,
120,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585267200,305,4,5.720311777,6.92E-06,-11.88124199,3.891820298,,
121,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585353600,305,5,5.720311777,6.92E-06,-11.88124199,3.891820298,,
122,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585440000,409,6,6.013715156,9.28E-06,-11.58783861,3.891820298,,
123,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585526400,454,7,6.118097198,1.03E-05,-11.48345657,3.891820298,,
124,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585612800,511,8,6.23636959,1.16E-05,-11.36518418,3.891820298,,
125,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585699200,584,9,6.369900983,1.32E-05,-11.23165279,3.891820298,,
126,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585785600,847,10,6.741700695,1.92E-05,-10.85985307,3.891820298,,
127,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585872000,847,11,6.741700695,1.92E-05,-10.85985307,3.891820298,,
128,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585958400,986,12,6.893656355,2.24E-05,-10.70789741,3.891820298,,
129,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586044800,1300,13,7.170119543,2.95E-05,-10.43143422,3.891820298,,
130,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586131200,1320,14,7.185387016,2.99E-05,-10.41616675,3.891820298,,
131,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586217600,1423,15,7.260522598,3.23E-05,-10.34103117,3.891820298,,
132,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586304000,1468,16,7.291656209,3.33E-05,-10.30989756,3.891820298,,
133,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586390400,1572,17,7.360103973,3.57E-05,-10.2414498,3.891820298,,
134,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586476800,1666,18,7.418180823,3.78E-05,-10.18337295,3.891820298,,
135,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586563200,1761,19,7.473637108,3.99E-05,-10.12791666,3.891820298,,
136,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586649600,1825,20,7.509335266,4.14E-05,-10.0922185,3.891820298,,
137,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586736000,1914,21,7.556950572,4.34E-05,-10.0446032,3.891820298,,
138,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586822400,1983,22,7.592366129,4.50E-05,-10.00918764,3.891820298,,
139,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586908800,2070,23,7.635303886,4.70E-05,-9.966249882,3.891820298,,
178,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1584662400,128,0,4.852030264,2.84E-06,-12.77247923,4.043051268,,
179,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1584748800,158,1,5.062595033,3.50E-06,-12.56191446,4.043051268,,
180,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1584835200,225,2,5.416100402,4.99E-06,-12.20840909,4.043051268,,
181,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1584921600,266,3,5.583496309,5.90E-06,-12.04101319,4.043051268,,
182,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585008000,301,4,5.707110265,6.67E-06,-11.91739923,4.043051268,,
183,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585094400,387,5,5.958424693,8.58E-06,-11.6660848,4.043051268,,
184,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585180800,502,6,6.21860012,1.11E-05,-11.40590937,4.043051268,,
185,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585267200,589,7,6.378426184,1.31E-05,-11.24608331,4.043051268,,
186,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585353600,690,8,6.536691598,1.53E-05,-11.0878179,4.043051268,,
187,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585440000,745,9,6.613384218,1.65E-05,-11.01112528,4.043051268,,
188,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585526400,820,10,6.70930434,1.82E-05,-10.91520515,4.043051268,,
189,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585612800,966,11,6.873163834,2.14E-05,-10.75134566,4.043051268,,
190,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585699200,966,12,6.873163834,2.14E-05,-10.75134566,4.043051268,,
191,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585785600,1133,13,7.032624261,2.51E-05,-10.59188523,4.043051268,,
192,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585872000,1133,14,7.032624261,2.51E-05,-10.59188523,4.043051268,,
193,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585958400,1265,15,7.142827401,2.80E-05,-10.48168209,4.043051268,,
194,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586044800,1451,16,7.280008253,3.22E-05,-10.34450124,4.043051268,,
195,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586131200,1554,17,7.348587531,3.45E-05,-10.27592196,4.043051268,,
196,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586217600,1628,18,7.395107547,3.61E-05,-10.22940195,4.043051268,,
197,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586304000,1715,19,7.44716836,3.80E-05,-10.17734113,4.043051268,,
198,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586390400,1795,20,7.492760301,3.98E-05,-10.13174919,4.043051268,,
199,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586476800,1894,21,7.546446274,4.20E-05,-10.07806322,4.043051268,,
200,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586563200,1975,22,7.588323677,4.38E-05,-10.03618582,4.043051268,,
201,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586649600,2137,23,7.667158255,4.74E-05,-9.957351239,4.043051268,,
