,Entity,Code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,medianAge,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,casesPop,logcasesPop,logcasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Australia,AUS,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,37.400002,38.0,90.0,61.0,51.0,21.0,71.0,1586390400,6052.0,30.0,8.708144074908246,0.000236947693992311,-8.347671141641456,5.53338948872752,1.414942459739265e-06,-2235.7167061825617,0.9337886366384051,3.4144820810032644e-17,9.164883304932488e-08,1.4149424597392647e-06,-2252.772521399111,0.933788636638405,3.414482081003362e-17,9.164883304932496e-08
1,Austria,AUT,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,43.200001,11.0,55.0,79.0,70.0,60.0,63.0,1586304000,12640.0,30.0,9.444621667700849,0.0014031720791846415,-6.569019834502816,7.373374309910049,1.4532573903644939e-06,-2295.6775022967354,0.9222192976088867,1.9865414288024831e-16,1.0155340299400445e-07,1.4532573903644937e-06,-2311.691143798939,0.9222192976088865,1.9865414288025253e-16,1.0155340299400452e-07
2,Belgium,BEL,372.33143989432,41708.2123401731,11287940.0,11034732,239464,97.876,2.1240001,80.9926829268293,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,41.299999,65.0,75.0,54.0,94.0,82.0,57.0,1586131200,19691.0,30.0,9.88791695754517,0.001699128086955734,-6.377640049519085,7.9714309977693505,1.7006647738564777e-06,-2687.6743597692125,0.977720511707108,2.2688721668474998e-27,5.9230753338541705e-08,1.7006647738564775e-06,-2703.9399167762763,0.977720511707108,2.2688721668474998e-27,5.92307533385417e-08
3,Brazil,BRA,24.6420983615972,14702.5912680317,205962108.0,176653700,29308408,85.77,14.23,75.28399999999999,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Brazil,76,,,,Developing,Brazil,28912,1760.0,14026.0,13126,296.0,136.0,8.0,62985.0,296.0,212588235,31.299999,69.0,38.0,49.0,76.0,44.0,59.0,1586822400,23430.0,30.0,10.061772531501841,0.0001102130604734547,-9.113095152174882,4.912654885736052,1.8732899226678548e-06,-2962.0552408209405,0.9745040148574611,5.002740014364374e-21,7.87454820716135e-08,1.8732899226678543e-06,-2981.230108504617,0.9745040148574609,5.002740014365015e-21,7.874548207161375e-08
4,Canada,CAN,3.9404490675217794,43149.4758370305,35949709.0,29117142,6715371,81.259,18.740999,82.1290243902439,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010.0,8979.0,18390,557.0,752.0,27.0,467736.0,12393.0,37738032,40.5,39.0,80.0,52.0,48.0,36.0,68.0,1586563200,22133.0,30.0,10.004824986442046,0.0005864905726933508,-7.441353963839059,6.62273632394984,1.9084155931195976e-06,-3017.5340980014544,0.9764067059325809,1.5209979947058116e-23,7.347129297173115e-08,1.9084155931195976e-06,-3034.9802769517355,0.9764067059325813,1.5209979947054648e-23,7.347129297173062e-08
5,China,CHN,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,37.0,80.0,20.0,66.0,30.0,87.0,24.0,1581984000,72508.0,30.0,11.191452179582809,5.019317230849828e-05,-9.899631550307632,4.04305126783455,4.948030202526833e-07,-772.8109834400666,0.7198591574373703,2.723235969563316e-15,5.1448206454644e-08,4.948030202526834e-07,-793.9020671699571,0.7198591574373703,2.723235969563316e-15,5.1448206454644006e-08
6,Czech Republic,CZE,136.57160062160102,30605.420521147098,10603762.0,7748928,2797131,73.477,26.523001,78.57804878048779,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166.0,819.0,5316,84.0,588.0,16.0,137672.0,12856.0,10715986,41.400002,57.0,58.0,57.0,74.0,70.0,29.0,1586649600,5902.0,30.0,8.683046555502886,0.0005507659304519435,-7.5042006476852645,6.376726947898627,1.3056927125580216e-06,-2062.6632029564344,0.9507167781526421,7.813861090030997e-18,7.527685878701096e-08,1.305692712558022e-06,-2078.850450159623,0.9507167781526427,7.813861090029605e-18,7.527685878701055e-08
7,Denmark,DNK,135.353250773994,45458.697148830994,5688695.0,4974525,708958,87.52600000000001,12.474,80.7024390243902,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,41.599998,18.0,74.0,16.0,23.0,35.0,70.0,1586390400,5402.0,30.0,8.59452453435256,0.0009322715585209224,-6.9778864139156385,7.050122520269059,9.669684035243416e-07,-1525.4153057493108,0.9561246704234886,3.0443213051210916e-20,5.00809084311483e-08,9.669684035243416e-07,-1540.9877166975791,0.9561246704234885,3.044321305121222e-20,5.008090843114837e-08
8,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,24.700001,70.0,25.0,45.0,80.0,7.0,4.0,1586908800,2350.0,30.0,7.762170607138205,2.251497005988024e-05,-10.70133013399709,3.1780538303479458,1.1153032515984321e-06,-1762.030791270011,0.9943525921415299,8.283977580425309e-30,2.210441914473122e-08,1.1153032515984324e-06,-1780.4942920111469,0.9943525921415298,8.283977580427666e-30,2.2104419144731446e-08
9,Estonia,EST,31.0310686482661,27549.581369737796,1315321.0,899949,415458,68.416,31.584,77.590243902439,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35.0,117.0,1248,10.0,1055.0,26.0,33967.0,25606.0,1327014,41.599998,40.0,60.0,30.0,60.0,82.0,16.0,1586822400,1332.0,30.0,7.194436851100335,0.001003757307760129,-6.904005012271395,6.961296045910167,8.604087698656928e-07,-1357.8676384509354,0.9757105318632333,2.4371269781399303e-21,3.526905864988608e-08,8.604087698656928e-07,-1371.9660803143072,0.9757105318632335,2.437126978139618e-21,3.526905864988591e-08
