code,slope,intercept,rvalue,pvalue,stderr
ALB,7.47E-07,-1179.648527,0.969042041,3.10E-14,4.16E-08
ARE,1.71E-06,-2709.304125,0.995533271,3.23E-29,3.13E-08
ARG,1.21E-06,-1907.180595,0.959773504,2.66E-15,7.06E-08
ARM,9.91E-07,-1565.554611,0.968580831,3.09E-17,4.99E-08
AUS,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08
AUT,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07
AZE,1.38E-06,-2184.720361,0.985707652,2.24E-15,5.56E-08
BEL,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08
BFA,8.45E-07,-1334.439756,0.980159861,8.13E-15,3.92E-08
BGD,3.02E-06,-4789.25803,0.994710236,3.53E-08,1.18E-07
BGR,7.78E-07,-1227.06909,0.966990184,2.33E-16,4.10E-08
BIH,1.14E-06,-1799.019369,0.978017839,1.80E-16,5.17E-08
BLR,2.75E-06,-4356.218131,0.993114679,1.93E-14,8.67E-08
BRA,1.87E-06,-2962.055241,0.974504015,5.00E-21,7.87E-08
CAN,1.91E-06,-3017.534098,0.976406706,1.52E-23,7.35E-08
CHE,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08
CHL,1.52E-06,-2407.292419,0.972562287,2.84E-19,6.88E-08
CHN,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08
COL,1.40E-06,-2211.057734,0.983009715,1.14E-20,5.12E-08
CRI,7.76E-07,-1225.577134,0.964078258,2.54E-15,4.37E-08
CYP,1.01E-06,-1593.67517,0.980901047,2.05E-16,4.36E-08
CZE,1.31E-06,-2062.663203,0.950716778,7.81E-18,7.53E-08
DEU,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08
DNK,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08
DOM,1.43E-06,-2254.636419,0.962716216,1.49E-14,8.36E-08
DZA,1.40E-06,-2212.579335,0.967675859,1.19E-14,7.78E-08
ECU,1.51E-06,-2386.96559,0.951135717,2.65E-15,9.43E-08
EGY,1.12E-06,-1762.030791,0.994352592,8.28E-30,2.21E-08
ESP,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07
EST,8.60E-07,-1357.867638,0.975710532,2.44E-21,3.53E-08
FIN,1.04E-06,-1647.883879,0.983659823,2.11E-25,3.38E-08
FRA,1.75E-06,-2759.408335,0.961210299,3.03E-26,7.56E-08
GBR,1.97E-06,-3111.489672,0.984951994,2.38E-31,5.53E-08
GEO,8.14E-07,-1285.5519,0.987290649,9.06E-12,3.63E-08
GHA,9.74E-07,-1539.32422,0.979544543,5.53E-14,4.72E-08
GRC,8.74E-07,-1378.645545,0.963262039,7.78E-20,4.31E-08
GTM,7.93E-07,-1252.592885,0.987571515,0.000230741,6.31E-08
HKG,7.77E-07,-1226.425603,0.979942099,4.72E-31,2.44E-08
HND,8.63E-07,-1362.764431,0.952462984,1.13E-09,6.90E-08
HRV,1.10E-06,-1733.440591,0.93898,4.33E-13,8.04E-08
HUN,1.19E-06,-1873.722061,0.985474581,5.41E-20,4.17E-08
IDN,1.38E-06,-2185.328531,0.976191717,8.49E-21,5.70E-08
IND,1.85E-06,-2930.239647,0.996294298,2.20E-31,3.02E-08
IRL,1.54E-06,-2432.531571,0.974474528,5.09E-21,6.47E-08
IRN,1.19E-06,-1876.707683,0.920891387,7.39E-21,7.35E-08
IRQ,1.01E-06,-1600.350468,0.986271996,3.09E-24,3.15E-08
ISL,9.63E-07,-1520.872506,0.945918612,3.34E-17,5.84E-08
ISR,1.62E-06,-2555.367765,0.959415665,1.34E-18,8.53E-08
ITA,1.46E-06,-2301.920838,0.941197661,3.25E-25,7.41E-08
JOR,5.78E-07,-910.8648739,0.916005196,8.71E-10,5.52E-08
JPN,8.72E-07,-1375.22329,0.995190853,3.78E-54,1.19E-08
KEN,6.24E-07,-985.4930536,0.963760923,1.18E-07,5.21E-08
KGZ,1.30E-06,-2055.205022,0.984771789,2.92E-11,6.36E-08
KOR,5.22E-07,-818.8630525,0.759509784,1.79E-11,6.14E-08
KWT,9.65E-07,-1523.818646,0.978984493,5.70E-23,3.61E-08
LKA,4.80E-07,-755.7125462,0.991220852,4.73E-19,1.43E-08
LTU,1.03E-06,-1620.973991,0.947918529,6.45E-13,7.19E-08
LUX,1.05E-06,-1661.808362,0.891681896,8.59E-11,1.03E-07
LVA,7.97E-07,-1257.322654,0.948403263,1.80E-13,5.44E-08
MAR,1.35E-06,-2132.177382,0.974272127,1.00E-15,6.65E-08
MDA,1.58E-06,-2505.273124,0.992568948,1.07E-20,4.24E-08
MEX,1.57E-06,-2476.343756,0.991000523,3.07E-24,4.15E-08
MKD,1.02E-06,-1613.590278,0.992217097,2.11E-21,2.73E-08
MLT,7.17E-07,-1131.331473,0.993140331,4.62E-21,1.84E-08
MNE,7.21E-07,-1138.694921,0.912372495,2.13E-06,8.97E-08
MYS,1.18E-06,-1856.773981,0.94021964,6.01E-18,7.20E-08
NGA,8.08E-07,-1276.417228,0.982477515,1.30E-11,4.10E-08
NLD,1.53E-06,-2413.56751,0.967331962,2.98E-24,6.50E-08
NOR,1.10E-06,-1743.192025,0.931216092,3.03E-18,7.01E-08
NZL,1.00E-06,-1586.517936,0.892728958,4.51E-09,1.08E-07
PAK,1.29E-06,-2037.516854,0.975189021,7.05E-20,5.53E-08
PAN,1.41E-06,-2230.364578,0.971946352,7.23E-18,6.70E-08
PER,1.72E-06,-2720.096008,0.995118177,1.07E-28,3.28E-08
PHL,1.54E-06,-2439.069362,0.976701537,1.31E-21,6.19E-08
POL,1.54E-06,-2441.240031,0.978356646,4.40E-22,5.96E-08
PRT,1.71E-06,-2708.786859,0.954102255,8.70E-18,9.66E-08
QAT,8.49E-07,-1340.099611,0.965514713,7.36E-21,3.99E-08
ROU,1.57E-06,-2488.517205,0.982980217,1.23E-23,5.37E-08
RUS,2.14E-06,-3378.534214,0.996593282,8.40E-31,3.40E-08
RWA,3.21E-07,-504.0126797,0.984439196,4.19E-08,1.91E-08
SAU,1.42E-06,-2248.690457,0.973086585,4.92E-20,6.26E-08
SEN,5.83E-07,-918.8225559,0.966286491,4.73E-12,3.66E-08
SGP,9.07E-07,-1432.171787,0.996570626,2.89E-49,1.14E-08
SLV,7.62E-07,-1204.369279,0.941420281,0.00154545,1.22E-07
