,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1586736000,446,20,6.100318952,0.000155287,-8.770232638,5.147494477,7.47E-07,-1179.648527,0.969042041,3.10E-14,4.16E-08,7.47E-07,-1194.519079,0.969042041,3.10E-14,4.16E-08
0,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585872000,277,10,5.624017506,9.64E-05,-9.246534084,5.147494477,7.47E-07,-1179.648527,0.969042041,3.10E-14,4.16E-08,7.47E-07,-1194.519079,0.969042041,3.10E-14,4.16E-08
0,Albania,ALB,105.135146,10970.45224,2923352,1654503,1226200,57.434,42.566002,78.174,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25,251,218,5,172,9,4558,1584,2872093,90,20,80,70,61,15,1585440000,197,5,5.283203729,6.86E-05,-9.587347862,5.147494477,7.47E-07,-1179.648527,0.969042041,3.10E-14,4.16E-08,7.47E-07,-1194.519079,0.969042041,3.10E-14,4.16E-08
76,United Arab Emirates,ARE,109.5012201,66569.40341,9154302,7842857,1311445,85.674,14.326,77.101,33.400002,1,World,142,Asia,145,Western Asia,,,UAE,800,,,,Developing,UAE,5365,33,1034,4298,1,542,3,767000,77550,9898524,90,25,50,80,,,1586217600,2076,20,7.638198244,0.000209728,-8.469697969,6.295266001,1.71E-06,-2709.304125,0.995533271,3.23E-29,3.13E-08,1.71E-06,-2725.412022,0.995533271,3.23E-29,3.13E-08
88,United Arab Emirates,ARE,109.5012201,66569.40341,9154302,7842857,1311445,85.674,14.326,77.101,33.400002,1,World,142,Asia,145,Western Asia,,,UAE,800,,,,Developing,UAE,5365,33,1034,4298,1,542,3,767000,77550,9898524,90,25,50,80,,,1585353600,405,10,6.003887067,4.09E-05,-10.10400915,6.295266001,1.71E-06,-2709.304125,0.995533271,3.23E-29,3.13E-08,1.71E-06,-2725.412022,0.995533271,3.23E-29,3.13E-08
91,United Arab Emirates,ARE,109.5012201,66569.40341,9154302,7842857,1311445,85.674,14.326,77.101,33.400002,1,World,142,Asia,145,Western Asia,,,UAE,800,,,,Developing,UAE,5365,33,1034,4298,1,542,3,767000,77550,9898524,90,25,50,80,,,1584921600,153,5,5.030437921,1.55E-05,-11.07745829,6.295266001,1.71E-06,-2709.304125,0.995533271,3.23E-29,3.13E-08,1.71E-06,-2725.412022,0.995533271,3.23E-29,3.13E-08
2,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1586390400,1795,20,7.492760301,3.98E-05,-10.13174919,4.043051268,1.21E-06,-1907.180595,0.959773504,2.66E-15,7.06E-08,1.21E-06,-1924.805105,0.959773504,2.66E-15,7.06E-08
2,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585526400,820,10,6.70930434,1.82E-05,-10.91520515,4.043051268,1.21E-06,-1907.180595,0.959773504,2.66E-15,7.06E-08,1.21E-06,-1924.805105,0.959773504,2.66E-15,7.06E-08
2,Argentina,ARG,15.8650651,19116.90791,43417765,39728558,3689207,91.503,8.4969997,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Argentina,32,,,,Developing,Argentina,2571,112,596,1863,117,57,2,24374,539,45105263,49,46,56,86,20,62,1585094400,387,5,5.958424693,8.58E-06,-11.6660848,4.043051268,1.21E-06,-1907.180595,0.959773504,2.66E-15,7.06E-08,1.21E-06,-1924.805105,0.959773504,2.66E-15,7.06E-08
3,Armenia,ARM,102.4569723,8195.93365,2916950,1840158,1076792,63.085,36.915001,74.445,33.900002,1,World,142,Asia,145,Western Asia,,,Armenia,51,,1,,Developing,Armenia,1111,17,297,797,30,375,6,9095,3069,2962667,,,,,61,,1586304000,853,20,6.748759547,0.000287916,-8.152840887,5.926926026,9.91E-07,-1565.554611,0.968580831,3.09E-17,4.99E-08,9.91E-07,-1580.456212,0.968580831,3.09E-17,4.99E-08
