,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,regionCode,subRegionCode,m49,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
popDensity,1.0,0.5658762208029714,-0.12518596200965387,-0.14385070100601416,-0.10150527226116503,0.5438213328971299,-0.5438213351906517,0.3303494950165608,0.1118268215889502,0.08724523770046068,-0.3092886912459498,0.1265659524063156,-0.1983671629485564,-0.23662572907584484,-0.27782586725780534,-0.15465273963940118,-0.22272059468066263,-0.29597384357396145,-0.26456118708482446,-0.18968014180527856,0.0878480615894563,-0.12487258127180492,0.3230622867966829,-0.4913916207712003,0.03567437274618423,-0.4686834168651368,0.17173823204250016,-0.37973189317795986,0.006592707666467719,-0.21974049614074892,,-0.5802519449933449,-0.3288455345608817,-0.2997129854965544,-0.2523408004075033,-0.43411551053227726,-0.5829842157916048,0.25961379972953363,-0.03639124244729633,-0.577998440214251,-0.43411551053227726,0.09455111392942539,0.2596137997295362,-0.03639124244729633,-0.5779984402142542
gdp,0.5658762208029714,1.0,-0.4498546965192884,-0.4420003774321949,-0.45149355312929534,0.5535946355957609,-0.5535946422082326,0.6005378690736727,0.3539069985309928,-0.10745238042636299,0.25934992731939305,0.3539504400342878,-0.021511395708159128,-0.144302294782249,-0.49174177650598105,0.09036859447014207,-0.06784016625225003,0.08688249017953788,-0.13919952895178506,0.006675796997059288,0.4971186678931407,-0.4497580476237988,-0.31985678257701794,0.17739684856492635,-0.17832953194127632,-0.3275882102947284,0.014226455741883255,0.2896651452332753,0.4768388592453959,-0.06481375232174962,,-0.40756552265259177,0.11924476634247942,0.19789332731871911,0.2678176336373915,-0.2437501800377819,-0.5768121374382336,0.3453441154356623,-0.12479856292812713,-0.6028546427024432,-0.24375018003778193,0.388557325345743,0.34534411543566385,-0.12479856292812713,-0.6028546427024457
gapPop,-0.12518596200965387,-0.4498546965192884,1.0,0.9928246374987946,0.9900041538769558,-0.5049315141060756,0.5049315167621731,-0.48970192913899235,-0.17408033736179612,-0.08634523422896906,-0.30917883799417145,-0.16726831002186024,0.21000282479910903,0.08961145917125417,0.5615717842888001,0.11242472395306873,0.05165001029840522,-0.2561959532654895,-0.19067719999597485,0.8573077557735724,-0.28190333075642315,0.9999900280975607,0.30164769887441834,-0.2918686507604368,0.225887623740536,-0.18975344829277815,0.23081696565470514,-0.3503616914662306,-0.8886598115817073,0.2704569316471987,,0.3121324038906172,-0.2742991842449329,-0.39237527010341405,-0.45007038573301267,0.25966175698177807,0.27911843979497625,-0.07993338716660008,-0.049270857415425515,0.3791187809050508,0.25966175698177796,-0.6065073157498402,-0.07993338716660184,-0.049270857415425494,0.3791187809050524
urbanPop,-0.14385070100601416,-0.4420003774321949,0.9928246374987946,1.0,0.9660482883342437,-0.48592023193607053,0.4859202345860534,-0.49293577075503864,-0.16955972132394853,-0.1512629662179058,-0.3438527850835326,-0.12547540789987077,0.30564027864462534,0.16023257427017173,0.5821294612545743,0.2138125155248905,0.1402613540202705,-0.24746435734561306,-0.19167919606333317,0.8365616941485089,-0.29987522349415036,0.9926435827077241,0.29142871057559294,-0.25460026307355804,0.26086883121623183,-0.16312033261632516,0.20888858931256163,-0.33456665306993916,-0.8784922807009381,0.3605879936002701,,0.35011570776709955,-0.28162603180533263,-0.40176342277113697,-0.4407920962642834,0.3088877853926713,0.24392870448650975,-0.04972591223191875,-0.04731146565754043,0.3544297383639797,0.30888778539267137,-0.6743887396329302,-0.04972591223192039,-0.047311465657540436,0.3544297383639814
ruralPop,-0.10150527226116503,-0.45149355312929534,0.9900041538769558,0.9660482883342437,1.0,-0.519817192960542,0.5198171954249596,-0.47757632632505537,-0.1767446477624833,-0.008568369995935366,-0.2624325466487441,-0.2138151613050408,0.09558358411004238,0.007903127789103633,0.5288186205956589,-0.007283248379866182,-0.051152720917757154,-0.25967170392181416,-0.18385118365235711,0.9114412480200261,-0.1835003445048952,0.9902041203602822,0.3087301146986989,-0.3294703841818098,0.17959987381374393,-0.21697717742786254,0.2513818766063092,-0.36328911850882945,-0.884373339298684,0.161231529125556,,0.2644994038378494,-0.2595420274833588,-0.3714743848185587,-0.45025774556862397,0.19945224116615248,0.3167429064565213,-0.11450485662782886,-0.050313386372580794,0.4032821249004139,0.19945224116615237,-0.5154401381860506,-0.11450485662783061,-0.050313386372580794,0.4032821249004156
urbanPct,0.5438213328971299,0.5535946355957609,-0.5049315141060756,-0.48592023193607053,-0.519817192960542,1.0,-0.999999999999999,0.5055631467590377,0.20034780689164322,-0.07711725300133969,0.011321297669190203,0.19646478170897663,-0.143337531074379,-0.16327263700104913,-0.5357514780180267,-0.03629106909843069,-0.08606708443444755,-0.09207675509829438,0.037314013038998756,-0.19769495047419058,-0.21256765515982004,-0.5056532364288331,0.08395394933029425,0.07794752099233396,-0.2746227104424185,-0.12548443197339113,0.03366109553708792,0.11025472521652406,0.4244685005886159,-0.19053062700330342,,-0.5115789256363112,-0.11513814072680156,-0.10718710678612878,-0.013694631154866533,-0.37069820242177737,-0.6227316821964247,0.37227250223442215,0.006973230601712696,-0.7852333911708957,-0.3706982024217774,0.18702625599775144,0.3722725022344239,0.006973230601712702,-0.7852333911708965
ruralPct,-0.5438213351906517,-0.5535946422082326,0.5049315167621731,0.4859202345860534,0.5198171954249596,-0.999999999999999,1.0,-0.5055631598962832,-0.20034782626720027,0.07711725170144274,-0.011321304334717334,-0.1964647660409629,0.14333752841238234,0.16327263435968023,0.5357514745975855,0.03629106765843751,0.08606708060650604,0.09207675394856775,-0.03731401323905471,0.1976949376189329,0.21256763874962323,0.5056532391068007,-0.08395394215456015,-0.07794752435001867,0.2746227151345244,0.12548441912285718,-0.03366111310352183,-0.11025470960212741,-0.4244684922870351,0.19053062659609946,,0.5115789201104239,0.11513814469909414,0.10718710119740733,0.013694624240301777,0.3706982005456189,0.6227316726607661,-0.3722724924348298,-0.006973249277066513,0.7852333864714417,0.3706982005456189,-0.18702625957831867,-0.3722724924348315,-0.006973249277066509,0.7852333864714423
lifeExpectancy,0.3303494950165608,0.6005378690736727,-0.48970192913899235,-0.49293577075503864,-0.47757632632505537,0.5055631467590377,-0.5055631598962832,1.0,0.8040142831951475,0.08629547819751432,0.21826535255233817,0.12100597338686934,-0.21152187008961384,-0.044026634670919614,-0.39637143495353666,-0.15512533324473973,-0.14348769656333815,0.24199634652905017,0.22068664594500786,-0.2113762765357145,0.3989862141713139,-0.49179932788605263,-0.3678391491219638,0.20991964700424165,0.005626250260262603,0.23270346778065124,0.3001834791000971,0.0014437347902256327,0.306511676137526,-0.23805981658481015,,-0.3441669016574798,0.2499310331294892,0.11211904611293233,0.20292583387776397,-0.23184178670084024,-0.39322604001208156,0.22981546125794922,0.08778880594070337,-0.45009067454873636,-0.23184178670084024,0.31721938403762284,0.22981546125795052,0.08778880594070335,-0.4500906745487375
medianAge,0.1118268215889502,0.3539069985309928,-0.17408033736179612,-0.16955972132394853,-0.1767446477624833,0.20034780689164322,-0.20034782626720027,0.8040142831951475,1.0,0.2402915632874763,0.3054202420785495,-0.029796848712243338,-0.026809648311710794,0.10671580941088048,-0.019331404791265685,-0.03438806635195432,-0.007348909931038728,0.35880384685214556,0.31496386612121285,0.06539488505771776,0.4108944873695711,-0.1768113067606273,-0.46109013664798565,0.2499275046245775,0.20260847130727125,0.34570864413581803,0.5408305916782169,-0.12356826286144348,0.010718034632905622,-0.020953409914576834,,-0.007963822322216851,0.3496991001945887,0.16079269725380146,0.2618869697766733,0.06672759928058766,-0.23631874989005136,0.31225947222742695,0.024240872240977172,-0.30840626059642895,0.0667275992805875,0.05817389114856834,0.3122594722274272,0.02424087224097717,-0.30840626059642917
regionCode,0.08724523770046068,-0.10745238042636299,-0.08634523422896906,-0.1512629662179058,-0.008568369995935366,-0.07711725300133969,0.07711725170144274,0.08629547819751432,0.2402915632874763,1.0,0.36156796179853795,0.01762796282403904,-0.5277653539938003,-0.27648324920255646,-0.038197626666630624,-0.5790345630782991,-0.40717939597305675,0.164088992754557,0.2302809146862281,-0.5473326101154558,0.015188229759287884,-0.08728031388951038,0.10091794993698099,-0.35675065498549313,-0.18018038225891314,0.10858174231508314,0.4748845195365353,-0.2898541463808671,-0.1115108008406289,-0.5037559469960269,,-0.13974844468755038,0.20824430486304665,0.10055439525075326,0.1224312247354123,-0.2613402466202979,0.22885063787759868,-0.004857313728781465,0.04339556426009166,-0.08940653312358694,-0.26134024662029803,0.35938706775166135,-0.004857313728783104,0.04339556426009167,-0.08940653312358486
