,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,globalCode,regionCode,subRegionCode,interRegionCode,m49,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,medianAge,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,casesPop,logcasesPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
popDensity,1.0,0.7527947843453708,-0.23223810696942307,-0.2719497997600642,-0.1842962490958223,0.7244343642383079,-0.7244343686314353,0.4209631974811272,,0.10512094617418853,-0.24978859599110334,,0.11979630328678201,-0.36430479142240835,-0.45526979054824723,-0.6041683428408944,-0.27422097099673437,-0.4072342768405142,-0.37588212936322196,-0.38062856074503854,-0.3707141827785961,0.2541128096963293,-0.23134335899772349,0.0807781425025579,0.4591487292330273,-0.5104680026990642,-0.15955083821348823,-0.6563908832097001,0.11001336849219197,-0.28024318652570773,0.20802098283103335,-0.3599869102783361,,-0.7457718751103206,-0.3891414293332093,-0.25245459846738955,-0.38763019271435345,0.3864969416845859,0.2917884598765835,-0.09835947353326695,-0.6763168265590448,-0.38763019271435345,0.38750574246993547,0.2917884598765825,-0.09835947353326695,-0.6763168265590395
gdp,0.7527947843453708,1.0,-0.45961714442770757,-0.4433959386245306,-0.47124481949605923,0.8017602941779732,-0.8017603039185712,0.5464287089534289,,-0.23830879098490274,0.002222388911264892,,0.4812756448853824,0.07452848152039192,-0.05842930798160456,-0.5478848895130465,0.18668875724149936,0.0275669166761931,-0.05560664034144465,-0.1958235511788982,0.07559057054194109,0.29206275572339585,-0.4594884692910953,0.30592752130056255,-0.017757508716143924,-0.007069355163475568,-0.029804268428599342,-0.450727039739824,0.06683292472057895,0.24692395493026856,0.5318201207981681,0.06660135860910228,,-0.4320477938934115,-0.08934909212545192,0.062083949228933434,0.12346355343506676,-0.12469599058504838,0.5839604350072434,-0.09936216386529309,-0.44424630354554845,0.12346355343506674,-0.12372300535919814,0.5839604350072424,-0.09936216386529309,-0.44424630354554256
gapPop,-0.23223810696942307,-0.45961714442770757,1.0,0.9933543975595165,0.9912858802101872,-0.6703302448388492,0.6703302569510858,-0.620134033322839,,-0.1329045401887319,-0.21241990590511625,,-0.3455188525239786,0.10123891909642636,-0.06437653650355456,0.4969419421982355,0.018823093802659542,-0.08956938152491696,-0.2958195418274488,-0.2570366797472521,0.8280787272597167,-0.2287074358254461,0.9999904594476317,-0.29271551495909337,0.393523574241368,-0.24095775202361913,0.2162911157823253,-0.28883355063463495,0.21358539484546032,-0.22448299255305268,-0.9125485471632262,0.12850160336530697,,0.2373136089238441,-0.2710716552848298,-0.38994559294455916,-0.29572945811067686,0.29675887067281853,-0.6816352007109662,-0.11465371889707815,-0.016985561760296683,-0.2957294581106768,0.29562372168746004,-0.6816352007109661,-0.11465371889707815,-0.01698556176029771
urbanPop,-0.2719497997600642,-0.4433959386245306,0.9933543975595165,1.0,0.9695503254834031,-0.6583301398728398,0.6583301525630064,-0.6328673823004809,,-0.23239237462125664,-0.22581346144352157,,-0.2953281926735596,0.19282508616672603,-0.006296354516349752,0.49792809144550615,0.11669593424643535,-0.009624790865037097,-0.2828284884418306,-0.2660877804834644,0.8012537373007592,-0.2597799825669221,0.9932289347556691,-0.2968084617982537,0.33298018350775066,-0.1771928103759784,0.25574388403693976,-0.26725728604075044,0.17513174060874934,-0.15325727025472188,-0.8831190532236134,0.2192748379487483,,0.27515391249637,-0.2570296297404219,-0.3815254168767194,-0.23298110304271005,0.2340005505119943,-0.6454639713112182,-0.12417552743904081,0.0023108947462149683,-0.23298110304271005,0.23281468581344034,-0.6454639713112179,-0.12417552743904081,0.0023108947462135063
ruralPop,-0.1842962490958223,-0.47124481949605923,0.9912858802101872,0.9695503254834031,1.0,-0.6753390745728928,0.6753390856551268,-0.5964939286957585,,-0.01804418693656928,-0.1924664544928485,,-0.39810894222085996,-0.002707916446481359,-0.1262961792088489,0.4892677199842088,-0.09128029532795043,-0.17671902263910488,-0.30304046226442,-0.2397786588160133,0.9030002628976441,-0.06574904444592035,0.9914188341719148,-0.2841645759969441,0.45658439301259934,-0.3079088392416777,0.16501231284439252,-0.30804428291465935,0.25245540841020475,-0.30207798147497417,-0.9309916410761626,0.02472140575215596,,0.1933203348895573,-0.28065168577053573,-0.3897655321702208,-0.3606783336298572,0.36170609372004336,-0.7125043544274174,-0.10182097530033843,-0.0354378202187993,-0.3606783336298572,0.36064701448740966,-0.7125043544274173,-0.10182097530033843,-0.035437820218799786
urbanPct,0.7244343642383079,0.8017602941779732,-0.6703302448388492,-0.6583301398728398,-0.6753390745728928,1.0,-0.9999999999999981,0.698334664758545,,-0.04227624174148806,-0.06648496534833347,,0.3930791938002625,-0.20059036997596122,-0.28631740544124384,-0.7850784648765707,-0.05752748638937955,-0.1554119037896238,-0.21301085962106694,-0.2601885794846112,-0.3718162424486393,-0.08673351166419853,-0.6709415909733298,0.2877210678735378,0.005165178395828374,-0.15472851616243985,-0.016161762027723108,-0.20146844644738426,0.029230642059097516,0.12222648914941045,0.6563305879143768,-0.205957324931258,,-0.7037872406231862,-0.20878421968918584,-0.1626997308384441,-0.051992353681119034,0.05045337969495499,0.64306943029823,0.01559916739918281,-0.5747205011087861,-0.05199235368111904,0.05157848925316966,0.64306943029823,0.01559916739918281,-0.5747205011087848
ruralPct,-0.7244343686314353,-0.8017603039185712,0.6703302569510858,0.6583301525630064,0.6753390856551268,-0.9999999999999981,1.0,-0.6983346744594374,,0.0422762384485153,0.06648495643896422,,-0.39307916322660397,0.20059037370570104,0.2863174116262766,0.7850784774864166,0.0575274895209049,0.15541190652131195,0.21301086608183104,0.2601885880779765,0.37181623707249817,0.08673348559107455,0.670941603089001,-0.28772108129774465,-0.005165182875235852,0.15472852028952047,0.016161771693684667,0.20146843302394965,-0.029230663126024275,-0.12222646777009362,-0.6563305892472335,0.20595733224928278,,0.7037872465437565,0.2087842341940888,0.1626997290089127,0.05199236373110966,-0.0504533897506783,-0.6430694225072043,-0.01559918960033367,0.5747204989018988,0.05199236373110964,-0.051578499321753915,-0.6430694225072041,-0.01559918960033367,0.5747204989018976
lifeExpectancy,0.4209631974811272,0.5464287089534289,-0.620134033322839,-0.6328673823004809,-0.5964939286957585,0.698334664758545,-0.6983346744594374,1.0,,0.2827556502159392,0.07425825060601406,,0.14667529299209323,-0.29640528435230157,-0.07853081547970159,-0.6305477259892386,-0.2092980136181075,-0.21425801099020528,0.13606260581203453,0.22460201901915083,-0.39747312377161764,0.24628694937355866,-0.6224020152354062,0.8056277089894374,-0.013573989434673972,-0.02147702557453389,0.12065738739041675,0.24475188173606455,0.38562736964750194,-0.11642655203929629,0.4885794566006803,-0.3189207697385096,,-0.5302156173057944,0.10728274931710173,-0.05297995119705585,-0.041007387400588666,0.03993124863806893,0.4707483403311906,0.10885213292585173,-0.33639395044029224,-0.041007387400588576,0.040888378116114836,0.4707483403311914,0.10885213292585173,-0.33639395044029424
globalCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regionCode,0.10512094617418853,-0.23830879098490274,-0.1329045401887319,-0.23239237462125664,-0.01804418693656928,-0.04227624174148806,0.0422762384485153,0.2827556502159392,,1.0,0.3087602103064134,,-0.47593093093673394,-0.8861603083039519,-0.5273571677778763,-0.08532335432208585,-0.9287601629384918,-0.7194165250466654,-0.06945515961392998,0.1540576044549902,-0.8170675125989515,0.07430008296649605,-0.13352247684546886,0.2613202949874026,0.29165689474739,-0.3733461913883216,-0.07765941257878733,0.17091621611425406,0.4315335224449876,-0.4833527544425551,-0.12498727053695029,-0.8900184189769583,,-0.35370696395481516,-0.08235906885614466,-0.14562840354253162,-0.45645339343019303,0.45640942291318537,-0.12777715360876304,0.05924283143349677,-0.19100754743013734,-0.45645339343019303,0.45680019344987904,-0.12777715360876302,0.05924283143349677,-0.19100754743013723
