,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,code,ldc,lldc,sids,development,pdi,idv,mas,uai,ltowvs,ivr
0,1,World,150,Europe,39,Southern Europe,,,Albania,8,ALB,,,,Developed,90.0,20.0,80.0,70.0,61.0,15.0
1,1,World,2,Africa,15,Northern Africa,,,Algeria,12,DZA,,,,Developing,,,,,26.0,32.0
2,1,World,150,Europe,39,Southern Europe,,,Andorra,20,AND,,,,Developed,,,,,,65.0
3,1,World,2,Africa,202,Sub-Saharan Africa,17.0,Middle Africa,Angola,24,AGO,1.0,,,Developing,83.0,18.0,20.0,60.0,15.0,83.0
4,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Argentina,32,ARG,,,,Developing,49.0,46.0,56.0,86.0,20.0,62.0
5,1,World,142,Asia,145,Western Asia,,,Armenia,51,ARM,,1.0,,Developing,,,,,61.0,
6,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,AUS,,,,Developed,38.0,90.0,61.0,51.0,21.0,71.0
7,1,World,150,Europe,155,Western Europe,,,Austria,40,AUT,,,,Developed,11.0,55.0,79.0,70.0,60.0,63.0
8,1,World,142,Asia,145,Western Asia,,,Azerbaijan,31,AZE,,1.0,,Developing,,,,,61.0,22.0
9,1,World,142,Asia,34,Southern Asia,,,Bangladesh,50,BGD,1.0,,,Developing,80.0,20.0,55.0,60.0,47.0,20.0
10,1,World,150,Europe,151,Eastern Europe,,,Belarus,112,BLR,,,,Developed,,,,,81.0,15.0
11,1,World,150,Europe,155,Western Europe,,,Belgium,56,BEL,,,,Developed,65.0,75.0,54.0,94.0,82.0,57.0
12,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Benin,204,BEN,1.0,,,Developing,61.0,78.0,43.0,97.0,,
13,1,World,142,Asia,34,Southern Asia,,,Bhutan,64,BTN,1.0,1.0,,Developing,94.0,52.0,32.0,28.0,,
14,1,World,150,Europe,39,Southern Europe,,,Bosnia and Herzegovina,70,BIH,,,,Developed,,,,,70.0,44.0
