,code,country,date,cases,daysGT100,logCases
79,AFG,Afghanistan,2020-03-29,106.0,0.0,4.663439094112067
80,AFG,Afghanistan,2020-03-30,114.0,1.0,4.736198448394496
81,AFG,Afghanistan,2020-03-31,141.0,2.0,4.948759890378168
82,AFG,Afghanistan,2020-04-01,166.0,3.0,5.111987788356544
83,AFG,Afghanistan,2020-04-02,192.0,4.0,5.2574953720277815
84,AFG,Afghanistan,2020-04-03,235.0,5.0,5.459585514144159
85,AFG,Afghanistan,2020-04-04,235.0,6.0,5.459585514144159
86,AFG,Afghanistan,2020-04-05,270.0,7.0,5.598421958998375
87,AFG,Afghanistan,2020-04-06,299.0,8.0,5.700443573390687
88,AFG,Afghanistan,2020-04-07,337.0,9.0,5.820082930352362
89,AFG,Afghanistan,2020-04-08,367.0,10.0,5.905361848054571
90,AFG,Afghanistan,2020-04-09,423.0,11.0,6.0473721790462776
91,AFG,Afghanistan,2020-04-10,484.0,12.0,6.182084906716632
92,AFG,Afghanistan,2020-04-11,521.0,13.0,6.255750041753367
93,AFG,Afghanistan,2020-04-12,555.0,14.0,6.318968113746434
94,AFG,Afghanistan,2020-04-13,607.0,15.0,6.408528791059498
95,AFG,Afghanistan,2020-04-14,665.0,16.0,6.499787040655854
96,AFG,Afghanistan,2020-04-15,714.0,17.0,6.570882962339584
219,ALB,Albania,2020-03-24,100.0,0.0,4.605170185988092
220,ALB,Albania,2020-03-25,123.0,1.0,4.812184355372417
221,ALB,Albania,2020-03-26,146.0,2.0,4.983606621708336
222,ALB,Albania,2020-03-27,174.0,3.0,5.159055299214529
223,ALB,Albania,2020-03-28,186.0,4.0,5.225746673713202
224,ALB,Albania,2020-03-29,197.0,5.0,5.2832037287379885
225,ALB,Albania,2020-03-30,212.0,6.0,5.356586274672012
226,ALB,Albania,2020-03-31,223.0,7.0,5.407171771460119
227,ALB,Albania,2020-04-01,243.0,8.0,5.493061443340548
228,ALB,Albania,2020-04-02,259.0,9.0,5.556828061699537
229,ALB,Albania,2020-04-03,277.0,10.0,5.6240175061873385
230,ALB,Albania,2020-04-04,304.0,11.0,5.717027701406222
231,ALB,Albania,2020-04-05,333.0,12.0,5.808142489980444
232,ALB,Albania,2020-04-06,361.0,13.0,5.8888779583328805
233,ALB,Albania,2020-04-07,377.0,14.0,5.932245187448011
234,ALB,Albania,2020-04-08,383.0,15.0,5.948034989180646
235,ALB,Albania,2020-04-09,400.0,16.0,5.991464547107982
236,ALB,Albania,2020-04-10,409.0,17.0,6.013715156042802
237,ALB,Albania,2020-04-11,416.0,18.0,6.030685260261263
238,ALB,Albania,2020-04-12,433.0,19.0,6.07073772800249
239,ALB,Albania,2020-04-13,446.0,20.0,6.100318952020064
240,ALB,Albania,2020-04-14,467.0,21.0,6.1463292576688975
241,ALB,Albania,2020-04-15,475.0,22.0,6.163314804034641
320,DZA,Algeria,2020-03-23,102.0,0.0,4.624972813284271
321,DZA,Algeria,2020-03-24,189.0,1.0,5.241747015059643
322,DZA,Algeria,2020-03-25,231.0,2.0,5.442417710521793
323,DZA,Algeria,2020-03-26,264.0,3.0,5.575949103146316
324,DZA,Algeria,2020-03-27,305.0,4.0,5.720311776607412
325,DZA,Algeria,2020-03-28,305.0,5.0,5.720311776607412
326,DZA,Algeria,2020-03-29,409.0,6.0,6.013715156042802
327,DZA,Algeria,2020-03-30,454.0,7.0,6.118097198041348
328,DZA,Algeria,2020-03-31,511.0,8.0,6.236369590203704
329,DZA,Algeria,2020-04-01,584.0,9.0,6.369900982828227
330,DZA,Algeria,2020-04-02,847.0,10.0,6.741700694652055
331,DZA,Algeria,2020-04-03,847.0,11.0,6.741700694652055
332,DZA,Algeria,2020-04-04,986.0,12.0,6.893656354602635
333,DZA,Algeria,2020-04-05,1300.0,13.0,7.170119543449628
334,DZA,Algeria,2020-04-06,1320.0,14.0,7.1853870155804165
335,DZA,Algeria,2020-04-07,1423.0,15.0,7.260522598089852
336,DZA,Algeria,2020-04-08,1468.0,16.0,7.291656209174461
337,DZA,Algeria,2020-04-09,1572.0,17.0,7.360103972989152
338,DZA,Algeria,2020-04-10,1666.0,18.0,7.418180822726788
339,DZA,Algeria,2020-04-11,1761.0,19.0,7.473637108496206
340,DZA,Algeria,2020-04-12,1825.0,20.0,7.509335266016592
341,DZA,Algeria,2020-04-13,1914.0,21.0,7.5569505720129
342,DZA,Algeria,2020-04-14,1983.0,22.0,7.592366128519796
343,DZA,Algeria,2020-04-15,2070.0,23.0,7.635303886259415
353,AND,Andorra,2020-03-23,113.0,0.0,4.727387818712341
354,AND,Andorra,2020-03-24,133.0,1.0,4.890349128221754
355,AND,Andorra,2020-03-25,164.0,2.0,5.099866427824199
356,AND,Andorra,2020-03-26,188.0,3.0,5.236441962829949
357,AND,Andorra,2020-03-27,224.0,4.0,5.4116460518550396
358,AND,Andorra,2020-03-28,267.0,5.0,5.58724865840025
359,AND,Andorra,2020-03-29,308.0,6.0,5.730099782973574
360,AND,Andorra,2020-03-30,334.0,7.0,5.811140992976701
361,AND,Andorra,2020-03-31,370.0,8.0,5.91350300563827
362,AND,Andorra,2020-04-01,376.0,9.0,5.929589143389895
363,AND,Andorra,2020-04-02,390.0,10.0,5.966146739123692
364,AND,Andorra,2020-04-03,428.0,11.0,6.059123195581797
365,AND,Andorra,2020-04-04,439.0,12.0,6.0844994130751715
366,AND,Andorra,2020-04-05,466.0,13.0,6.144185634125646
367,AND,Andorra,2020-04-06,501.0,14.0,6.2166061010848646
368,AND,Andorra,2020-04-07,526.0,15.0,6.26530121273771
369,AND,Andorra,2020-04-08,545.0,16.0,6.300785794663244
370,AND,Andorra,2020-04-09,564.0,17.0,6.335054251498059
371,AND,Andorra,2020-04-10,583.0,18.0,6.368187186350492
372,AND,Andorra,2020-04-11,601.0,19.0,6.398594934535208
373,AND,Andorra,2020-04-12,622.0,20.0,6.432940092739179
374,AND,Andorra,2020-04-13,638.0,21.0,6.45833828334479
375,AND,Andorra,2020-04-14,646.0,22.0,6.470799503782602
376,AND,Andorra,2020-04-15,659.0,23.0,6.490723534502507
