countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop
Zimbabwe,ZWE,15-Apr-20,23,3,1,19,,2,0.2,716,48,11500000
Zambia,ZMB,15-Apr-20,48,2,30,16,1,3,0.1,1696,92,16000000
South Africa,ZAF,15-Apr-20,2506,34,410,2062,7,42,0.6,90515,1526,59666667
Yemen,YEM,15-Apr-20,1,,,1,,0.03,,,,33333333
Vietnam,VNM,15-Apr-20,268,,171,97,8,3,,135938,1397,89333333
British Virgin Islands,VGB,15-Apr-20,3,,2,1,,99,,,,30303
Venezuela,VEN,15-Apr-20,197,9,111,77,6,7,0.3,225009,7913,28142857
Saint Vincent Grenadines,VCT,15-Apr-20,12,,1,11,,108,,87,784,111111
Uzbekistan,UZB,15-Apr-20,1302,4,107,1191,8,39,0.1,70000,2091,33384615
USA,USA,15-Apr-20,644089,28529,48708,566852,13487,1946,86,3258879,9845,330980987
Uruguay,URY,15-Apr-20,493,9,272,212,13,142,3,10448,3008,3471831
Ukraine,UKR,15-Apr-20,3764,108,143,3513,45,86,2,39084,894,43767442
Uganda,UGA,15-Apr-20,55,,12,43,,1,,7693,168,55000000
Tanzania,TZA,15-Apr-20,88,4,11,73,,1,0.07,,,88000000
Turkey,TUR,15-Apr-20,69392,1518,5674,62200,1820,823,18,477716,5664,84315917
Tunisia,TUN,15-Apr-20,780,35,43,702,89,66,3,13137,1112,11818182
Trinidad and Tobago,TTO,15-Apr-20,114,8,20,86,,81,6,1282,916,1407407
Timor-Leste,TLS,15-Apr-20,8,,1,7,,6,,,,1333333
Thailand,THA,15-Apr-20,2643,43,1497,1103,61,38,0.6,100498,1440,69552632
Togo,TGO,15-Apr-20,81,3,35,43,,10,0.4,3036,367,8100000
Chad,TCD,15-Apr-20,23,,2,21,,1,,,,23000000
Turks and Caicos,TCA,15-Apr-20,10,1,,9,,258,26,71,1834,38760
Taiwan,TAI,15-Apr-20,395,6,137,252,,17,0.3,49748,2089,23235294
Syria,SYR,15-Apr-20,33,2,5,26,,2,0.1,,,16500000
Seychelles,SYC,15-Apr-20,11,,,11,,112,,,,98214
Sint Maarten,SXM,15-Apr-20,53,9,5,39,2,1236,210,157,3662,42880
Eswatini,SWZ,15-Apr-20,15,,8,7,,13,,714,615,1153846
Sweden,SWE,15-Apr-20,11927,1203,381,10343,954,1181,119,74600,7387,10099069
Slovenia,SVN,15-Apr-20,1248,61,165,1022,34,600,29,37114,17852,2080000
Slovakia,SVK,15-Apr-20,863,6,151,706,5,158,1,31491,5768,5462025
