,country,code,year,pop_density,gdp,total_pop,urban_pop,rural_pop,urban_pct,rural_pct,pdi,idv,mas,uai,ltowvs,ivr,life_expectancy,median_age,total_cases,days_since_100th_case
0,Algeria,DZA,2014,16.42215901,13483.33786,39113313,27465760,11647553,70.221,29.778999,,,,,25.94458438,32.36607143,76.078,27.5,1914,21
1,Argentina,ARG,2014,15.7056572,18797.54795,42981515,39275219,3706296,91.377,8.6230001,49,46,56,86,20.40302267,61.83035714,76.577,30.799999,2208,24
2,Australia,AUS,2014,3.059518373,43547.19748,23474668,20120012,3384126,85.602,14.398,38,90,61,51,21.15869018,71.42857143,82.5,37.400002,6322,34
3,Bangladesh,BGD,2014,1224.593063,2973.041565,159405279,53456560,105948719,33.535,66.464996,80,20,55,60,47.10327456,19.64285714,72.489,25.6,621,6
4,Belarus,BLR,2014,46.69316939,17944.20985,9484851,7266287,2208224,76.693,23.306999,,,,,80.85642317,14.95535714,73.82682927,39.599998,2578,13
5,Belgium,BEL,2014,370.180218,41360.39558,11219161,10966157,242900,97.833,2.1670001,65,75,54,94,81.86397985,56.69642857,80.99268293,41.299999,29647,37
6,Brazil,BRA,2014,24.43284427,15374.26151,204213133,174585892,29627241,85.492,14.508,69,38,49,76,43.82871537,59.15178571,75.509,31.299999,22169,29
7,Bulgaria,BGR,2014,66.54327561,16302.32056,7222145,5320503,1903435,73.651,26.349001,70,30,40,85,69.01763224,15.84821429,74.61463415,43.5,675,24
8,Canada,CAN,2014,3.907770267,43079.14252,35604728,28861099,6674249,81.218,18.782,39,80,52,48,36.02015113,68.30357143,82.3005122,40.5,24365,32
9,Chile,CHL,2014,23.68936105,22195.27437,17613798,15377374,2236424,87.303,12.697,63,23,28,86,30.98236776,68,79.522,33.700001,7213,27
10,China,CHN,2014,145.317356,12758.64779,1390110388,740239259,624030741,54.259,45.741001,80,20,66,30,87.40554156,23.66071429,76.252,37,83209,85
11,Colombia,COL,2014,43.07517891,12715.96739,47791911,37953946,9837965,79.415,20.584999,67,13,64,80,13.09823678,83.03571429,74.381,30.1,2776,25
12,Costa Rica,CRI,2014,93.1761653,14372.40078,4757575,3612950,1144625,75.941,24.059,35,15,21,86,,,79.831,31.4,595,23
13,Denmark,DNK,2014,134.4004525,45057.07417,5663914,4932961,710514,87.41,12.59,18,74,16,23,34.76070529,69.64285714,80.70487805,41.599998,6174,34
14,Dominican Republic,DOM,2014,215.397309,12663.04225,10405844,8082219,2323625,77.67,22.33,,,,,13.09823678,54.24107143,73.861,26.1,2967,22
15,Ecuador,ECU,2014,64.03250121,10901.41856,15903112,10060468,5842644,63.261,36.738998,78,8,63,67,,,76.327,26.6,7466,26
16,Egypt,EGY,2014,92.23222261,9879.799359,91812566,39331585,52480981,42.839,57.160999,,,,,6.801007557,4.241071429,71.484,24.700001,2065,28
17,El Salvador,SLV,2014,303.1461873,6890.723224,6281189,4326106,1955083,68.874,31.125999,66,19,40,94,19.64735516,88.83928571,73.512,25.799999,125,4
18,Ethiopia,ETH,2014,97.366774,1424.526984,97366774,18497740,78869034,18.998,81.001999,,,,,,46,65.475,18.6,71,
19,Finland,FIN,2014,17.97200303,39017.53721,5459717,4651843,809669,85.175,14.825,33,63,26,59,38.28715365,57.36607143,81.7804878,42.5,2974,31
20,France,FRA,2014,121.1126732,37523.72758,64190638,52650998,13665094,79.394,20.606001,68,71,43,86,63.47607053,47.76785714,82.27317073,41.200001,95403,43
21,Georgia,GEO,2014,65.20522062,8749.156189,3992346,2126887,1600113,57.067,42.932999,,,,,38.28715365,31.91964286,73.261,38,257,12
22,Germany,DEU,2014,232.1080539,43560.61924,81489660,62510392,18472108,77.19,22.809999,35,67,66,65,82.87153652,40.40178571,80.64146341,45.900002,123016,43
23,Ghana,GHA,2014,118.495926,3868.600894,26962563,14403132,12559431,53.419,46.581001,,,,,3.526448363,72.32142857,62.742,20.4,566,17
24,Greece,GRC,2014,84.50281614,24081.63054,11264726,8463623,2428790,77.702,22.298,60,35,57,112,45.34005038,49.55357143,81.03658537,43.299999,2114,31
25,Guatemala,GTM,2014,148.5961086,7147.429228,15923559,7903499,8020060,49.634,50.366001,95,6,37,101,,,73.409,21.299999,156,3
26,India,IND,2014,435.1754493,5385.141814,1293859294,419003394,874855900,32.384,67.615997,77,48,56,40,50.88161209,26.11607143,68.56,26.700001,9152,27
27,Indonesia,IDN,2014,140.8342576,10003.08903,255131116,134288263,120842853,52.635,47.365002,78,14,46,48,61.96473552,37.72321429,69.191,28,4241,28
28,Iran,IRN,2014,48.14158747,16924.20068,78411092,57106798,21304294,72.83,27.17,58,41,43,59,13.60201511,40.40178571,75.953,29.5,71686,46
29,Iraq,IRQ,2014,80.59974213,14838.38295,35006080,24419541,10586539,69.758,30.242001,,,,,24.93702771,16.74107143,69.862,19.4,1352,28
30,Ireland,IRL,2014,67.61126433,48898.32866,4686347,2903635,1754105,62.34,37.66,28,70,68,35,24.43324937,64.95535714,81.60731707,36.900002,9655,29
31,Israel,ISR,2014,379.6534196,31702.08354,7941329,7566988,648712,92.104,7.8959999,13,54,47,81,37.53148615,,82.40731707,30.200001,11145,30
32,Italy,ITA,2014,206.6673693,33945.84388,59585668,42109853,18679287,69.272,30.728001,50,76,70,75,61.46095718,29.6875,82.54390244,45.900002,156363,49
33,Japan,JPN,2014,349.1222295,37337.31741,128162873,116208079,11067921,91.304,8.6960001,54,46,95,92,87.9093199,41.74107143,83.98487805,46.299999,7255,51
34,Jordan,JOR,2014,99.22624465,8622.185468,8809306,7928375,880931,90,10,,,,,16.1209068,43.08035714,74.329,22.1,389,20
35,Malaysia,MYS,2014,92.00431289,24194.63391,30228017,22240868,7987149,73.577,26.423,104,26,50,36,40.80604534,57.14285714,75.3,27.700001,4683,34
36,Mali,MLI,2014,13.9018071,1865.160622,16962846,6648757,10314089,39.196,60.804001,,,,,20.1511335,42.63392857,57.966,16,116,1
37,Mexico,MEX,2014,63.90164356,16622.59705,124221600,98126368,26095232,78.993,21.007,81,30,69,82,24.1813602,97.32142857,77.118,27.5,4661,25
38,Morocco,MAR,2014,76.89464934,7078.881489,34318082,20678703,13639379,60.256,39.743999,70,46,53,68,14.10579345,25.44642857,75.821,27.9,1661,21
39,Netherlands,NLD,2014,500.5938854,45668.44147,16889356,15126226,1738782,89.69,10.31,38,80,14,53,67.00251889,68.30357143,81.5097561,42.099998,25587,37
40,New Zealand,NZL,2014,17.12696062,34455.33122,4566700,3891014,618686,86.281,13.719,22,79,58,49,32.74559194,74.55357143,81.61243902,37.299999,1064,21
41,Nigeria,NGA,2014,193.7486984,5671.900601,176460502,82904673,93555829,46.982,53.018002,,,,,12.84634761,83.92857143,53.428,17.9,323,13
42,Norway,NOR,2014,14.06516722,63419.31478,5140311,4145335,991897,80.692,19.308001,31,69,8,50,34.50881612,55.13392857,82.5097561,39.200001,6415,37
43,Pakistan,PAK,2014,240.694086,4576.227015,185546257,66460814,119085443,35.819,64.181,55,14,50,70,49.87405542,0,66.481,22.5,5374,27
44,Panama,PAN,2014,52.51528114,20017.99436,3903986,2591115,1312871,66.371,33.629002,95,11,44,86,,,78.001,28.4,3400,25
45,Peru,PER,2014,24.19793281,11547.83422,30973354,23903066,7070288,77.173,22.827,64,16,42,87,25.18891688,46.20535714,74.983,27.5,7519,26
46,Philippines,PHL,2014,335.7220679,6585.895949,100102249,46140130,53962119,46.093,53.907001,94,32,64,44,27.4559194,41.96428571,69.094,24.1,4648,29
47,Poland,POL,2014,124.1442732,24347.07366,38293060,22960228,15051507,60.403,39.597,68,60,64,93,37.78337531,29.24107143,77.45121951,39.700001,6674,29
48,Portugal,PRT,2014,113.5425141,26023.69785,10471168,6546012,3855050,62.936,37.063999,63,27,31,104,28.2115869,33.25892857,81.12682927,43.900002,16585,30
49,Puerto Rico,PRI,2014,398.5201804,35066.04638,,3310445,224429,93.651,6.349,,,,,0,89.95535714,79.78831707,36.400002,897,15
50,Romania,ROU,2014,86.53068063,19677.52025,19972736,10730940,9178039,53.9,46.099998,90,30,42,90,51.88916877,19.86607143,75.01219512,41.299999,6300,29
51,Russia,RUS,2014,8.781877489,25284.5862,143761378,106354643,37465023,73.95,26.049999,93,39,36,95,81.36020151,19.86607143,71.59292683,38.700001,15770,26
52,Saudi Arabia,SAU,2014,14.3168187,49958.44334,30776722,25532369,5244353,82.96,17.040001,,,,,35.5163728,52.23214286,74.561,29.799999,4462,28
53,Singapore,SGP,2014,7714.702398,80903.53465,5448342,5469724,0,100,0,74,20,48,8,71.53652393,45.53571429,82.79512195,40,2532,43
54,South Africa,ZAF,2014,44.95921242,12389.71467,54539571,35075489,19464082,64.312,35.688,,,,,34,63,62.774,26.1,2173,25
55,South Korea,KOR,2014,520.5853406,33425.68959,50385560,41463573,9283086,81.707,18.292999,60,18,39,85,100,29.46428571,82.02439024,40.799999,10537,52
56,Spain,ESP,2014,92.92273645,31195.40524,46521827,36890017,9590865,79.366,20.634001,57,51,42,86,47.6070529,43.52678571,82.83170732,43.200001,166019,41
57,Sweden,SWE,2014,23.80523434,44167.63187,9689376,8362604,1333506,86.247,13.753,31,71,5,29,52.89672544,77.67857143,82.20487805,40.900002,10483,37
58,Switzerland,CHE,2014,207.2236309,57218.02793,8229629,6034707,2153942,73.696,26.304001,34,68,70,58,73.55163728,66.07142857,82.89756098,42.200001,25220,37
59,Tanzania,TZA,2014,58.96914541,2402.099346,52234869,16142664,36092205,30.904,69.096001,,,,,34.00503778,38.39285714,65.675,17.299999,32,
60,Thailand,THA,2014,133.9168353,14857.20293,68416772,32116885,36299887,46.943,53.056999,64,20,34,64,31.73803526,45.08928571,75.303,37.799999,2579,28
61,Turkey,TUR,2014,100.0878708,22401.88043,77030628,56291672,20738956,73.077,26.923,66,37,45,85,45.59193955,49.10714286,75.755,29.9,56956,25
62,Ukraine,UKR,2014,78.15074833,8243.473515,44883426,31223156,14048791,68.968,31.032,,,,,86.39798489,14.28571429,71.47634146,40.299999,2777,18
63,United Kingdom,GBR,2014,267.0737817,38251.79248,65015686,53218629,11394531,82.365,17.635,35,89,66,35,51.13350126,69.41964286,80.95609756,40.200001,84279,38
64,United States,USA,2014,34.83195535,51921.98464,317718779,259623192,58999333,81.483,18.517,40,91,62,46,25.69269521,68.08035714,78.6902439,37.599998,557571,41
65,Uruguay,URY,2014,19.53802994,19827.56499,3419546,3246688,172858,94.945,5.0549998,61,36,38,100,26.19647355,53.34821429,77.493,34.900002,512,23
66,Venezuela,VEN,2014,34.84879315,16745.02198,30738378,27094036,3644342,88.144,11.856,81,12,73,76,15.61712846,100,74.545,27.4,181,18
67,Vietnam,VNM,2014,298.4645886,5264.8281,92544915,30646249,61898666,33.115,66.885002,70,20,40,30,57.17884131,35.49107143,76.253,30.4,262,21
