AGO,"LinregressResult(slope=1.0990795637534767e-05, intercept=-17419.567193675888, rvalue=0.965112419679802, pvalue=1.0673724989365308e-13, stderr=6.506848659966324e-07)"
ALB,"LinregressResult(slope=0.00015981904523571191, intercept=-253164.62505362506, rvalue=0.9802350485316869, pvalue=1.642857179179414e-25, stderr=5.531782475746072e-06)"
ARE,"LinregressResult(slope=0.00018579487731607735, intercept=-293625.8614061248, rvalue=0.602411164318688, pvalue=4.2096277896124583e-11, stderr=2.4995333057871125e-05)"
ARG,"LinregressResult(slope=0.0006833532318190447, intercept=-1082477.388663391, rvalue=0.9387859889227842, pvalue=3.0586729168251672e-18, stderr=4.179436759890316e-05)"
ARM,"LinregressResult(slope=7.817965852329266e-05, intercept=-123541.74466495794, rvalue=0.7426982932762911, pvalue=4.656432202005277e-18, stderr=7.270258500820698e-06)"
AUS,"LinregressResult(slope=0.000551881153001436, intercept=-872174.3634494436, rvalue=0.7251860883580724, pvalue=2.17725532797029e-18, stderr=5.163150887544641e-05)"
AUT,"LinregressResult(slope=0.0011974777493645417, intercept=-1892456.092750017, rvalue=0.7327635474773028, pvalue=6.4004132536720625e-19, stderr=0.00010957273047180624)"
AZE,"LinregressResult(slope=5.948279631191881e-05, intercept=-94003.9725816967, rvalue=0.6415222295951011, pvalue=1.1024748003873582e-12, stderr=7.259363598606816e-06)"
BEL,"LinregressResult(slope=0.0018488445843988296, intercept=-2921997.2191409217, rvalue=0.672625186244768, pvalue=3.905554891758307e-15, stderr=0.00020041518135765064)"
BEN,"LinregressResult(slope=1.5498616432524477e-05, intercept=-24561.385057471263, rvalue=0.9380259375904534, pvalue=1.7798108643878257e-13, stderr=1.1229907631184816e-06)"
BFA,"LinregressResult(slope=0.00019250891311115, intercept=-305007.09197163366, rvalue=0.9759245955221845, pvalue=2.1371188909861867e-21, stderr=7.85499532707871e-06)"
BGD,"LinregressResult(slope=0.0001430254601050135, intercept=-226654.84744216007, rvalue=0.7375890432530747, pvalue=3.3131885931375047e-06, stderr=2.474482565081519e-05)"
BGR,"LinregressResult(slope=0.0002453095911930847, intercept=-388583.36936395697, rvalue=0.988364054074717, pvalue=1.4292015558110832e-28, stderr=6.5718768327844e-06)"
BIH,"LinregressResult(slope=0.00036320813652278983, intercept=-575457.6988455394, rvalue=0.9453594225244554, pvalue=3.8044383850962444e-16, stderr=2.286944109715679e-05)"
BLR,"LinregressResult(slope=8.41100335110672e-05, intercept=-132928.4942804544, rvalue=0.512197799947927, pvalue=8.197534701802027e-08, stderr=1.4470197973844004e-05)"
BRA,"LinregressResult(slope=0.0011333787894203795, intercept=-1791237.4229667487, rvalue=0.625311410847867, pvalue=2.1316227305267646e-12, stderr=0.00014144325846204942)"
BTN,"LinregressResult(slope=1.8456272710604406e-06, intercept=-2922.784394689471, rvalue=0.9406960440996712, pvalue=3.774340565474786e-15, stderr=1.2359937493479925e-07)"
CAF,"LinregressResult(slope=4.686644772851671e-06, intercept=-7424.833497536948, rvalue=0.9880264445859283, pvalue=1.8698904956330908e-23, stderr=1.4084266339512722e-07)"
CAN,"LinregressResult(slope=0.0013967448846576203, intercept=-2207529.5244557327, rvalue=0.6374468942858748, pvalue=2.6389094734204573e-13, stderr=0.00016635041720691724)"
CHE,"LinregressResult(slope=0.0020609569501078935, intercept=-3257068.8055152395, rvalue=0.7350001054996123, pvalue=4.423897941636799e-19, stderr=0.00018734215417728382)"
CHL,"LinregressResult(slope=0.0020505013854405013, intercept=-3248164.8902621586, rvalue=0.9153972752179539, pvalue=1.3450135154451273e-16, stderr=0.00014627842017793534)"
CHN,"LinregressResult(slope=0.012591192208821924, intercept=-19872565.518968135, rvalue=0.9126036510307621, pvalue=8.393629493280508e-42, stderr=0.0005558084878385794)"
COL,"LinregressResult(slope=0.0008901924539423283, intercept=-1410384.961459937, rvalue=0.9256231198586174, pvalue=4.716015604951258e-15, stderr=6.433974718166079e-05)"
CRI,"LinregressResult(slope=0.00020804397045393272, intercept=-329546.68657342123, rvalue=0.9827548726765329, pvalue=3.0047930731091604e-27, stderr=6.616733165174836e-06)"
CYP,"LinregressResult(slope=0.00023569503271434275, intercept=-373418.20824754407, rvalue=0.9632201458620707, pvalue=2.992180550963916e-19, stderr=1.1809554857342469e-05)"
CZE,"LinregressResult(slope=0.00044364904182121165, intercept=-701145.3367509849, rvalue=0.7077905769684688, pvalue=3.120100876343838e-17, stderr=4.362953395381322e-05)"
DEU,"LinregressResult(slope=0.009118478154445135, intercept=-14410879.854219366, rvalue=0.7085650832116506, pvalue=2.78286001668336e-17, stderr=0.0008947682339341671)"
DNK,"LinregressResult(slope=0.0004465541992075012, intercept=-705713.307032276, rvalue=0.7346500567716465, pvalue=4.688315370523159e-19, stderr=4.063408508571117e-05)"
