,Entity,code,date,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr
11,Albania,ALB,2015,105.135145985401,10970.4522447693,2923352.0,1654503,1226200,57.434,42.566002000000005,78.17399999999999,36.200001,1,World,150,Europe,39,Southern Europe,,,Albania,8,,,,Developed,Albania,494,25.0,251.0,218,5.0,172.0,9.0,4558.0,1584.0,2872093,90.0,20.0,80.0,70.0,61.0,15.0
23,Algeria,DZA,2015,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0
35,Angola,AGO,2015,22.3464385978985,6227.664689061,27859305.0,17675615,10183690,63.446000000000005,36.554001,61.24100000000001,16.4,1,World,2,Africa,202,Sub-Saharan Africa,17.0,Middle Africa,Angola,24,1.0,,,Developing,Angola,19,2.0,5.0,12,,0.6,0.06,,,31666667,83.0,18.0,20.0,60.0,15.0,83.0
47,Argentina,ARG,2015,15.8650650968871,19116.907914513202,43417765.0,39728558,3689207,91.50299999999999,8.496999699999998,76.415,30.799999,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Argentina,32,,,,Developing,Argentina,2571,112.0,596.0,1863,117.0,57.0,2.0,24374.0,539.0,45105263,49.0,46.0,56.0,86.0,20.0,62.0
59,Armenia,ARM,2015,102.456972251493,8195.93364956571,2916950.0,1840158,1076792,63.085,36.915001000000004,74.445,33.900002,1,World,142,Asia,145,Western Asia,,,Armenia,51,,1.0,,Developing,Armenia,1111,17.0,297.0,797,30.0,375.0,6.0,9095.0,3069.0,2962667,,,,,61.0,
71,Australia,AUS,2015,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,38.0,90.0,61.0,51.0,21.0,71.0
83,Austria,AUT,2015,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,11.0,55.0,79.0,70.0,60.0,63.0
95,Azerbaijan,AZE,2015,116.73107678163099,16698.8636532538,9617484.0,5279540,4369801,54.714,45.285999,71.921,30.299999,1,World,142,Asia,145,Western Asia,,,Azerbaijan,31,,1.0,,Developing,Azerbaijan,1253,13.0,404.0,836,24.0,124.0,1.0,75397.0,7436.0,10104839,,,,,61.0,22.0
107,Bangladesh,BGD,2015,1238.38738572636,3132.56754015214,161200886.0,55304800,105896086,34.308,65.692001,72.155,25.6,1,World,142,Asia,34,Southern Asia,,,Bangladesh,50,1.0,,,Developing,Bangladesh,1231,50.0,49.0,1132,1.0,7.0,0.3,14868.0,90.0,175857143,80.0,20.0,55.0,60.0,47.0,20.0
119,Belarus,BLR,2015,46.767611256222,17229.5551904045,9485772.0,7324181,2165435,77.181,22.819000000000003,73.6243902439025,39.599998,1,World,150,Europe,151,Eastern Europe,,,Belarus,112,,,,Developed,Belarus,3728,36.0,203.0,3489,68.0,395.0,4.0,76198.0,8064.0,9437975,,,,,81.0,15.0
