globalName,regionName,subRegionName,country,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,regionCode,subRegionCode,interRegionName,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
World,Africa,Northern Africa,Algeria,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,2,15,,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,1586649600,1825.0,20.0,7.509335266016592,4.1400462637125986e-05,-10.092218502385636,3.8918202981106265,0.13491438022416047,5.132274931223765,0.976641269608735,3.7818371978444735e-14,0.006809808767953988,0.1349143802241605,-12.469278837178463,0.9766412696087352,3.781837197844124e-14,0.006809808767953955
World,Africa,Northern Africa,Algeria,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,2,15,,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,1585785600,847.0,10.0,6.741700694652055,1.9214351700627788e-05,-10.859853073750173,3.8918202981106265,0.17141645896531316,4.943417143082069,0.970459885444611,7.341726393270772e-07,0.0142050760443842,0.17141645896531316,-12.658136625320157,0.970459885444611,7.341726393270772e-07,0.014205076044384203
World,Africa,Northern Africa,Algeria,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,2,15,,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,1585353600,305.0,5.0,5.720311776607412,6.918981427026535e-06,-11.881241991794816,3.8918202981106265,0.20131201411095817,4.884338330593746,0.9066647972622869,0.012660647159243345,0.04683309464696887,0.2013120141109583,-12.717215437808482,0.9066647972622868,0.012660647159243376,0.046833094646968935
World,Africa,Northern Africa,Egypt,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,2,15,,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,1586908800,2350.0,30.0,7.762170607138205,2.251497005988024e-05,-10.70133013399709,3.1780538303479458,0.09636220093810456,4.962887332011769,0.9943525921415303,8.283977580418243e-30,0.001909821814104721,0.09636220093810452,-13.500613409123524,0.9943525921415295,8.283977580434731e-30,0.0019098218141048533
World,Africa,Northern Africa,Egypt,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,2,15,,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,1586044800,985.0,20.0,6.892641641172089,9.437125748502993e-06,-11.570859099963204,3.1780538303479458,0.09938718008790952,4.93842925545254,0.9859008263994004,3.2386266533944726e-16,0.0038698661558646164,0.09938718008790949,-13.525071485682757,0.9859008263994,3.238626653395188e-16,0.0038698661558646623
World,Africa,Northern Africa,Egypt,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,2,15,,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,1585180800,442.0,10.0,6.091309882077698,4.234730538922155e-06,-12.372190859057596,3.1780538303479458,0.13063438455105092,4.795839170836712,0.9864401762444989,2.2599787444261405e-08,0.007244864449499981,0.13063438455105095,-13.667661570298584,0.9864401762444988,2.2599787444262222e-08,0.007244864449500014
World,Africa,Northern Africa,Egypt,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,2,15,,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,1584748800,256.0,5.0,5.545177444479562,2.452694610778443e-06,-12.918323296655732,3.1780538303479458,0.1692025467316478,4.713518582425545,0.9889525507738173,0.000182395052371082,0.012680741903136655,0.16920254673164783,-13.749982158709747,0.9889525507738172,0.0001823950523710857,0.012680741903136724
World,Africa,Northern Africa,Morocco,Morocco,MAR,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,2,15,,504,Developing,Morocco,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,70.0,46.0,53.0,68.0,14.0,25.0,1586649600,1545.0,20.0,7.3427791893318455,4.1983695652173914e-05,-10.078229213807314,4.007333185232471,0.1268489972126359,5.060429796253868,0.9772177754239814,2.9893069449337667e-14,0.006320394654663861,0.12684899721263596,-12.36057860688529,0.9772177754239817,2.9893069449333615e-14,0.006320394654663815
World,Africa,Northern Africa,Morocco,Morocco,MAR,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,2,15,,504,Developing,Morocco,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,70.0,46.0,53.0,68.0,14.0,25.0,1585785600,654.0,10.0,6.483107351457199,1.777173913043478e-05,-10.93790105168196,4.007333185232471,0.1829896805639612,4.8065029186067,0.9902654499148321,5.114129351545493e-09,0.008573677853205017,0.18298968056396117,-12.614505484532458,0.990265449914832,5.114129351545747e-09,0.008573677853205064
World,Africa,Northern Africa,Morocco,Morocco,MAR,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,2,15,,504,Developing,Morocco,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,70.0,46.0,53.0,68.0,14.0,25.0,1585353600,345.0,5.0,5.84354441703136,9.375e-06,-11.5774639861078,4.007333185232471,0.22657592290404827,4.709391239784342,0.9976911561020612,7.989986271057983e-06,0.0077116817493350425,0.2265759229040481,-12.711617163354818,0.9976911561020612,7.989986271057983e-06,0.0077116817493350365
