,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),Urban population living in slums,Urban population not living in slums
0,Afghanistan,AFG,2014,50.1761786600496,1838.9602437199699,32758020.0,50.1761786600496,8054214,24703806,24.587,75.413002,5398133,3211330
6,Angola,AGO,2014,21.593379321408502,6257.15287433489,26920466.0,21.593379321408502,16887478,10032988,62.731,37.269001,6465507,5184055
15,Argentina,ARG,2014,15.705657199025099,18797.5479465897,42981515.0,15.705657199025099,39275219,3706296,91.37700000000001,8.623000099999999,6575255,32797532
16,Armenia,ARM,2014,102.08008429926201,7971.11792762162,2906220.0,102.08008429926201,1834174,1072046,63.111999999999995,36.888000000000005,262866,1562589
23,Bangladesh,BGD,2014,1224.5930629177199,2973.0415646346,159405279.0,1224.5930629177199,53456560,105948719,33.535,66.464996,29437876,23988397
25,Belize,BLZ,2014,15.4184129767646,7999.57369198528,351694.0,15.4184129767646,159440,192254,45.335,54.665001000000004,16760,138421
32,Benin,BEN,2014,91.2266051791415,2001.0772890116,10286712.0,91.2266051791415,4646096,5640616,45.166000000000004,54.833999999999996,2752838,1723322
40,Bolivia,BOL,2014,9.74998523031478,6324.82725807651,10562159.0,9.74998523031478,7187232,3374927,68.047,31.952999,3129203,4064367
48,Brazil,BRA,2014,24.4328442691795,15374.261507180701,204213133.0,24.4328442691795,174585892,29627241,85.492,14.508,38905786,135559620
54,Burkina Faso,BFA,2014,64.2762317251462,1582.33369667322,17585977.0,64.2762317251462,4736607,12849370,26.934,73.066002,3358533,1745621
57,Burundi,BDI,2014,385.194314641745,803.172837396172,9891790.0,385.194314641745,1164857,8726933,11.776,88.22399899999999,673593,489780
59,Cambodia,KHM,2014,86.5102537956039,3124.3192934427398,15270790.0,86.5102537956039,3328880,11941910,21.799,78.20099599999999,1726090,1406560
66,Cameroon,CMR,2014,47.047669818704904,3196.36152634263,22239904.0,47.047669818704904,12004211,10235693,53.976000000000006,46.023998,4524393,7444901
74,Central African Republic,CAF,2014,7.24805290699541,597.135168986395,4515392.0,7.24805290699541,1804305,2711087,39.959,60.041000000000004,1674992,120283
81,Chad,TCD,2014,10.7762372935197,2076.65000798778,13569438.0,10.7762372935197,3035755,10533683,22.372,77.627998,2673825,357723
89,China,CHN,2014,145.317355990401,12758.647789259,1390110388.0,148.069785393618,740239259,624030741,54.25899999999999,45.741001000000004,187059425,555239882
96,Colombia,COL,2014,43.07517890941871,12715.967391439799,47791911.0,43.07517890941871,37953946,9837965,79.415,20.584999,4768242,31630555
102,Comoros,COM,2014,408.052122514777,1432.08874813164,759385.0,408.052122514777,215195,544190,28.338,71.662003,149009,65084
106,Congo,COG,2014,14.263838945827198,5538.0529413717795,4871101.0,14.263838945827198,3170356,1700745,65.085,34.915001000000004,1483973,1680148
108,Costa Rica,CRI,2014,93.1761652957305,14372.4007814474,4757575.0,93.1761652957305,3612950,1144625,75.941,24.059,198644,3413069
115,Cote d'Ivoire,CIV,2014,70.8533018867925,3054.5348738642797,22531350.0,70.8533018867925,11043516,11487834,49.013999999999996,50.986000000000004,6747743,5301798
119,Democratic Republic of Congo,COD,2014,32.5192915903928,785.3473406630079,73722860.0,32.5192915903928,31096302,42626558,42.18,57.82,23147539,7798369
120,Djibouti,DJI,2014,39.3513373597929,,912164.0,39.3513373597929,705230,206934,77.314,22.686001,462320,242436
128,Dominican Republic,DOM,2014,215.397309045746,12663.0422473566,10405844.0,215.35273178807898,8082219,2323625,77.67,22.33,982872,7140034
130,Ecuador,ECU,2014,64.032501207924,10901.4185562194,15903112.0,64.032501207924,10060468,5842644,63.261,36.738997999999995,3636368,6464653
137,Egypt,EGY,2014,92.2322226128886,9879.79935855302,91812566.0,92.2322226128886,39331585,52480981,42.839,57.160999,4191532,35351222
140,Equatorial Guinea,GNQ,2014,40.2646702317291,31542.510772602098,1129424.0,40.2646702317291,791534,337890,70.083,29.916999999999998,297247,151767
148,Ethiopia,ETH,2014,97.36677399999999,1424.52698442707,97366774.0,97.36677399999999,18497740,78869034,18.998,81.001999,13691416,4835534
150,Gabon,GAB,2014,7.279516435751151,16678.6381326502,1875713.0,7.279516435751151,1644081,231632,87.65100000000001,12.349,603237,1027133
153,Gambia,GMB,2014,189.51106719367598,1550.2184323551198,1917852.0,189.51106719367598,1122480,795372,58.528,41.472,393873,737947
160,Ghana,GHA,2014,118.49592599103501,3868.60089371873,26962563.0,118.49592599103501,14403132,12559431,53.419,46.581001,5456028,8939824
168,Guatemala,GTM,2014,148.59610862262,7147.42922806486,15923559.0,148.59610862262,7903499,8020060,49.63399999999999,50.366001000000004,2808068,5331259
174,Guinea,GIN,2014,48.0445588474687,1734.7367469565697,11805509.0,48.0445588474687,4112567,7692942,34.836,65.164001,1875003,2455258
176,Guinea-Bissau,GNB,2014,61.370697012802296,1398.25480632738,1725744.0,61.370697012802296,719894,1005850,41.715,58.285,689550,148299
180,Guyana,GUY,2014,3.8780441960883905,6906.012308644809,763393.0,3.8780441960883905,201643,561750,26.414,73.585999,71911,145343
187,Haiti,HTI,2014,383.616328011611,1652.85480345734,10572466.0,383.616328011611,5438899,5133567,51.443999999999996,48.556000000000004,4517867,1554535
189,Honduras,HND,2014,78.73103941370991,4231.32506716223,8809216.0,78.73103941370991,4802256,4006960,54.513999999999996,45.486000000000004,1311487,3457558
196,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,435.17544926493105,419003394,874855900,32.384,67.615997,100504920,318265579
203,Indonesia,IDN,2014,140.834257577681,10003.0890293448,255131116.0,140.834257577681,134288263,120842853,52.635,47.365002000000004,29479518,105747627
212,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,80.5997421256217,24419541,10586539,69.758,30.242001000000002,11460428,12820139
217,Jordan,JOR,2014,99.22624464969591,8622.18546801292,8809306.0,99.22624464969591,7928375,880931,90.0,10.0,948292,6402810
224,Kenya,KEN,2014,80.86630705977441,2753.23613475312,46024250.0,80.86630705977441,11607776,34416474,25.221,74.778999,6494169,5102561
226,Laos,LAO,2014,28.493921143847498,5436.48264275006,6576397.0,28.493921143847498,2136474,4439923,32.486999999999995,67.513,775424,1694079
231,Lesotho,LSO,2014,70.6780303030303,2677.19807805197,2145785.0,70.6780303030303,568676,1577109,26.502,73.498001,292016,282818
233,Liberia,LBR,2014,45.58489410299,804.719886747093,4390737.0,45.58489410299,2168892,2221845,49.397,50.603001,1422395,742590
241,Madagascar,MDG,2014,40.546237538673104,1372.02096124513,23589801.0,40.5465859967858,8146502,15443299,34.534,65.466003,6277080,1853853
248,Malawi,MWI,2014,181.04410267288898,1090.3672076732,17068838.0,181.04410267288898,2753545,14315293,16.132,83.86799599999999,1833199,915225
255,Mali,MLI,2014,13.9018070956163,1865.1606218307102,16962846.0,13.9018070956163,6648757,10314089,39.196,60.804001,3738189,2901578
256,Mauritania,MRT,2014,3.9428737751043,3655.3885092314295,4063920.0,3.9428737751043,2040210,2023710,50.203,49.797001,1924053,484023
262,Mexico,MEX,2014,63.90164356079121,16622.5970457658,124221600.0,63.90164356079121,98126368,26095232,78.993,21.006999999999998,10888993,87210047
268,Mongolia,MNG,2014,1.88206184505265,11348.647341239699,2923896.0,1.88206184505265,1993015,930881,68.163,31.837,889209,1193248
275,Morocco,MAR,2014,76.89464933900959,7078.8814893239205,34318082.0,76.89464933900959,20678703,13639379,60.256,39.743999,2683869,17803683
282,Mozambique,MOZ,2014,34.6046211755131,1079.82386564737,27212382.0,34.6046211755131,9219011,17993371,33.878,66.122002,6978072,1711930
284,Myanmar,MMR,2014,79.5066178722362,4770.01209867368,51924182.0,79.48106047850109,15395520,36528662,29.65,70.349998,7142644,10278438
291,Namibia,NAM,2014,2.8798989420495804,9617.3969565111,2370992.0,2.8798989420495804,1086531,1284461,45.826,54.174,359563,723459
298,Nepal,NPL,2014,197.58103243808898,2266.1842982484804,28323241.0,197.58103243808898,5149732,23173509,18.182000000000002,81.818001,2805686,2361323
310,Niger,NER,2014,15.116617194284402,904.456729989967,19148219.0,15.116617194284402,3105650,16042569,16.219,83.780998,2479076,1057409
317,Nigeria,NGA,2014,193.74869835413998,5671.9006010195,176460502.0,193.74869835413998,82904673,93555829,46.982,53.018002,41582713,41251376
326,Pakistan,PAK,2014,240.69408597966,4576.2270153496,185546257.0,240.69408597966,66460814,119085443,35.819,64.181,32336751,38733032
328,Panama,PAN,2014,52.5152811407049,20017.9943624961,3903986.0,52.5152811407049,2591115,1312871,66.37100000000001,33.629002,667712,1920318
335,Peru,PER,2014,24.1979328125,11547.834216270901,30973354.0,24.1979328125,23903066,7070288,77.173,22.826999999999998,8292642,15954848
342,Philippines,PHL,2014,335.722067947815,6585.8959487088405,100102249.0,335.722067947815,46140130,53962119,46.093,53.907001,17056326,27477163
349,Rwanda,RWA,2014,459.88475881637606,1629.8688658482902,11345357.0,459.88475881637606,1924967,9420390,16.967,83.032997,1680408,1478253
351,Sao Tome and Principe,STP,2014,199.235416666667,2902.6933715176197,191266.0,199.235416666667,132381,58885,69.21300000000001,30.787001,106854,16534
359,Senegal,SEN,2014,75.5524385810004,2218.5519173352104,14546111.0,75.5524385810004,6609171,7936940,45.43600000000001,54.563999,2486926,3825068
361,Sierra Leone,SLE,2014,98.07650318647819,1692.14206707555,7079162.0,98.07650318647819,2862247,4216915,40.431999999999995,59.568001,2118154,683637
365,Somalia,SOM,2014,21.5403529186725,,13513125.0,21.5403529186725,5767267,7745858,42.678999999999995,57.320999,3886565,1394094
372,South Africa,ZAF,2014,44.9592124244697,12389.7146679241,54539571.0,44.9592124244697,35075489,19464082,64.312,35.688,8007512,26807756
373,South Sudan,SSD,2014,,1935.87940008879,11530971.0,18.873788109254,2147759,9383212,18.625999999999998,81.374001,2049399,94324
381,Sub-Saharan Africa,,2014,41.451560419455,3478.7988389155703,,43.113628203236,371834935,607182983,38.24814856467525,61.75185,201445485,163060702
382,Sudan,SDN,2014,21.574687710437697,4188.33481399507,37737913.0,21.380667497411803,12713526,25024387,33.689,66.310997,11622774,1065844
384,Suriname,SUR,2014,3.51235897435897,15306.692436763899,547928.0,3.51235897435897,362120,185808,66.089,33.910999,26433,335665
385,Swaziland,SWZ,2014,75.29633720930231,7870.970748142571,1295097.0,75.29633720930231,299802,995295,23.149,76.850998,90268,185782
392,Tanzania,TZA,2014,58.96914540528339,2402.0993456211,52234869.0,58.96914540528339,16142664,36092205,30.904,69.096001,8183536,7957561
396,Thailand,THA,2014,133.916835326587,14857.202932021,68416772.0,133.916835326587,32116885,36299887,46.943000000000005,53.056999,8410816,25232447
398,Togo,TGO,2014,132.908898694613,1315.3402595533,7228915.0,132.908898694613,2861132,4367783,39.579,60.421001000000004,1460828,1392352
400,Tunisia,TUN,2014,71.7295829042225,10767.0276518537,11143908.0,71.7295829042225,7552449,3591459,67.77199999999999,32.228001,594149,6832708
407,Turkey,TUR,2014,100.08787079505699,22401.880431139398,77030628.0,100.08787079505699,56291672,20738956,73.077,26.923000000000002,6681659,49466736
414,Uganda,UGA,2014,193.663165769001,1637.2750813846399,38833338.0,194.35132375757,8350721,30482617,21.504,78.496002,3281641,2840823
422,Vietnam,VNM,2014,298.464588641275,5264.82809971072,92544915.0,298.464588641275,30646249,61898666,33.115,66.885002,8131734,21764346
425,Yemen,YEM,2014,49.7117771843097,3766.8052549489703,26246327.0,49.7117771843097,8967058,17279269,34.165,65.834999,5429950,3500888
