Entity,Code,Year,UNPopulationDivision(MedianAge)(2017)(years)
Afghanistan,AFG,2015,17.299999
Africa,,2015,19.4
Albania,ALB,2015,36.200001
Algeria,DZA,2015,27.5
Angola,AGO,2015,16.4
Antigua and Barbuda,ATG,2015,30.700001
Argentina,ARG,2015,30.799999
Armenia,ARM,2015,33.900002
Aruba,ABW,2015,40.099998
Asia,,2015,30.299999
Australia,AUS,2015,37.400002
Australia/New Zealand,,2015,37.400002
Austria,AUT,2015,43.200001
Azerbaijan,AZE,2015,30.299999
Bahamas,BHS,2015,32.5
Bahrain,BHR,2015,31.200001
Bangladesh,BGD,2015,25.6
Barbados,BRB,2015,38.5
Belarus,BLR,2015,39.599998
Belgium,BEL,2015,41.299999
Belize,BLZ,2015,23.5
Benin,BEN,2015,18.200001
Bhutan,BTN,2015,26.299999
Bolivia,BOL,2015,24.1
Bosnia and Herzegovina,BIH,2015,41
Botswana,BWA,2015,24.4
Brazil,BRA,2015,31.299999
Brunei,BRN,2015,30
Bulgaria,BGR,2015,43.5
Burkina Faso,BFA,2015,17
Burundi,BDI,2015,17.6
Cambodia,KHM,2015,24
Cameroon,CMR,2015,18.299999
Canada,CAN,2015,40.5
Cape Verde,CPV,2015,23.799999
Caribbean,,2015,30.299999
Central African Republic,CAF,2015,17.799999
Central America,,2015,26.6
Central Asia,,2015,26.4
Chad,TCD,2015,16.1
Channel Islands,OWID_CIS,2015,42.700001
Chile,CHL,2015,33.700001
China,CHN,2015,37
Colombia,COL,2015,30.1
Comoros,COM,2015,19.700001
Congo,COG,2015,18.9
Costa Rica,CRI,2015,31.4
Cote d'Ivoire,CIV,2015,18.299999
Croatia,HRV,2015,42.599998
Cuba,CUB,2015,41.099998
Curacao,CUW,2015,41.299999
Cyprus,CYP,2015,34.900002
Czech Republic,CZE,2015,41.400002
Democratic Republic of Congo,COD,2015,16.799999
Denmark,DNK,2015,41.599998
Djibouti,DJI,2015,23.700001
Dominican Republic,DOM,2015,26.1
Eastern Africa,,2015,18
Eastern Asia,,2015,37.900002
Eastern Europe,,2015,39.599998
Ecuador,ECU,2015,26.6
Egypt,EGY,2015,24.700001
El Salvador,SLV,2015,25.799999
Equatorial Guinea,GNQ,2015,22.200001
Eritrea,ERI,2015,18.9
Estonia,EST,2015,41.599998
Ethiopia,ETH,2015,18.6
Europe,,2015,41.599998
Fiji,FJI,2015,27.6
Finland,FIN,2015,42.5
France,FRA,2015,41.200001
French Guiana,GUF,2015,24.5
French Polynesia,PYF,2015,30.9
Gabon,GAB,2015,22.6
Gambia,GMB,2015,17
Georgia,GEO,2015,38
Germany,DEU,2015,45.900002
Ghana,GHA,2015,20.4
Greece,GRC,2015,43.299999
Grenada,GRD,2015,27.200001
Guadeloupe,GLP,2015,41.5
Guam,GUM,2015,30.1
Guatemala,GTM,2015,21.299999
Guinea,GIN,2015,18.4
Guinea-Bissau,GNB,2015,18.9
Guyana,GUY,2015,24.6
Haiti,HTI,2015,23
High income,,2015,40.400002
Honduras,HND,2015,23
Hong Kong,HKG,2015,43.200001
Hungary,HUN,2015,41.700001
Iceland,ISL,2015,36
India,IND,2015,26.700001
Indonesia,IDN,2015,28
Iran,IRN,2015,29.5
Iraq,IRQ,2015,19.4
Ireland,IRL,2015,36.900002
Israel,ISR,2015,30.200001
Italy,ITA,2015,45.900002
Jamaica,JAM,2015,29.4
